Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,12446.59,467.09,10096.32,2010.04,229.01,9966.99,26363.63,1783.92
2005,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,13195.73,609.21,11416.02,2196.49,132.54,9122.92,28655.82,2384.39
2006,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,16768.63,464.7,12838.84,2409.85,213.84,9171.42,31313.28,2636.8
2007,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,16753.26,713.58,13137.79,2465.81,,9141.74,32452.01,1975.48
2008,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,20384.18,561.13,14590.36,2630.91,28.15,11741.99,37783.11,1098.62
2009,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,17611.93,612.91,11287.06,1467.18,306.87,9211.12,31863.2,3304.99
2010,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,18737.54,436.12,12585.15,1884.66,,9820.47,32451.93,3506.91
2011,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,16658.66,649.88,12571.36,1467.65,290.13,11531.55,32416.77,1680.77
2012,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,15851.82,755.27,11349.57,1277.86,118.91,12314.76,32163.11,2852.73
2013,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,18598.96,932.2,12981.59,1661.78,89.22,13769.54,36368.28,3231.2
2014,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,19263.69,967.16,13615.28,1623.38,83.16,14680.06,37942.56,2543.75
2015,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,22372.86,1355.52,14486.44,1735.68,301.44,12308.19,39737.39,2472.3
2016,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,22018.36,1283.02,16507.64,1416.5,79.0,10445.76,40022.4,1580.85
2017,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,23446.18,1306.45,19701.09,3983.34,55.13,12730.74,44023.49,2814.93
2018,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,21595.76,1379.15,20946.81,2292.64,,11801.03,63080.19,6962.97
2019,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,21988.81,1224.17,21400.34,1356.03,116.12,14641.82,67893.21,8826.94
2020,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,23028.75,1618.57,23703.42,1912.95,368.76,15198.85,69581.77,12357.44
2021,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,24982.65,2801.21,25438.17,1602.84,289.33,15393.65,69739.98,11706.26
2022,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,29213.36,2573.89,29319.26,2648.33,203.39,18300.29,78359.42,9237.81
2023,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,29027.41,2370.11,28585.61,1101.73,125.27,22991.97,86732.15,11972.07
2024,KESKOB.HE,Kesko Oyj,Food & Drug Retailing,Other,33555.82,5566.95,34454.82,3427.71,143.56,28279.52,99680.21,11714.89
