Ticker,FormationYear,theta_obs,theta_post_mean,p_q5,p_median,sigma_acc,MarketCap,Method1_Raw_PortfolioNum,Method1_Raw_Portfolio,Method2_PostMean_PortfolioNum,Method2_PostMean_Portfolio,Method3_ProbQ5_PortfolioNum,Method3_ProbQ5_Portfolio,Method4_ProbMedian_PortfolioNum,Method4_ProbMedian_Portfolio
AAB.CO,2010,-0.5286506469500928,-0.6829171047753723,0.0002369981977406,0.0018051381505846,0.0883713889085444,46.67,1,Q1,1,Q1,1,Q1,1,Q1
AAK.ST,2010,0.452191260105529,0.3611802028662704,0.5347780373700741,0.7892557256438092,0.0969926200614332,5195.33,5,Q5,5,Q5,5,Q5,4,Q4
ABB.ST,2010,-1.3306413948688984,-1.5153809211043088,1.2074891128643904e-11,2.9091576773943025e-10,0.058499117397744,244254.6,1,Q1,1,Q1,1,Q1,1,Q1
ACG1V.HE,2010,-1.2423343224530168,-1.6001059649220897,1.9417064795329564e-09,2.9748436997045767e-08,0.0951714841625046,53.81,1,Q1,1,Q1,1,Q1,1,Q1
ACTI.ST,2010,-0.1178012186332962,-0.171548566674424,0.0267023822096508,0.1029442400298567,0.0867771509966073,5221.41,1,Q1,1,Q1,2,Q2,1,Q1
ADDTb.ST,2010,0.4013059207623751,0.386925117789759,0.6531525818454144,0.9640569354112568,0.0331434694206683,1193.13,5,Q5,5,Q5,5,Q5,5,Q5
AFAGR.HE,2010,-0.1006441223832528,-0.2145325614738001,0.0814577446574264,0.1878691384568449,0.1749653148248907,4536.01,1,Q1,1,Q1,2,Q2,2,Q2
AFGA.OL,2010,0.3347653090225401,0.3158129796863337,0.4007974388247833,0.8746707121492833,0.0453901334140784,2107.01,4,Q4,5,Q5,4,Q4,5,Q5
AFK.OL,2010,0.056797323631971,0.0351818086703664,0.168309751248557,0.3692379185146382,0.124826015242996,2736.16,2,Q2,2,Q2,3,Q3,2,Q2
AFRY.ST,2010,0.2271955287605978,0.2157508226770529,0.1968267846596759,0.6804012941436988,0.051035082659091,2566.5,4,Q4,4,Q4,3,Q3,4,Q4
AGATE.CO,2010,0.0901279155578415,0.0796705087461217,0.2170789557584598,0.4257713512343238,0.1401378198060085,726.11,2,Q2,2,Q2,4,Q4,3,Q3
AGFEb.CO,2010,-0.8359167404783003,-1.317134014489896,2.11577413297684e-05,0.0001493552349425,0.1659667109505345,248.02,1,Q1,1,Q1,1,Q1,1,Q1
AKAST.OL,2010,0.3014359311629946,0.2775193338662196,0.3379417577701186,0.7773852476264286,0.0583544206421523,4308.16,4,Q4,4,Q4,4,Q4,4,Q4
AKVA.OL,2010,-0.1317019950124689,-0.1434825010182826,0.0015420434475508,0.0151802770728117,0.0318967779685155,344.46,1,Q1,1,Q1,1,Q1,1,Q1
ALFA.ST,2010,0.442248977475661,0.4144429334256372,0.683653250565388,0.9451381681664196,0.0456576533017768,33806.22,5,Q5,5,Q5,5,Q5,5,Q5
ALKb.CO,2010,0.2651136606835459,0.2336540736068252,0.2842558726487488,0.6876485996753054,0.0805207281652638,4193.19,4,Q4,4,Q4,4,Q4,4,Q4
AMBUb.CO,2010,0.296143174760671,0.2795739465332838,0.3018594605181141,0.828169433045221,0.0469847280223833,1268.2,4,Q4,4,Q4,4,Q4,5,Q5
ANODb.ST,2010,0.1014981890023048,0.0983976225312687,0.1539125730588975,0.4226159378718164,0.0858012700980669,435.05,3,Q3,3,Q3,3,Q3,3,Q3
ANOT.ST,2010,-0.0553134162770425,-0.1412762962227004,0.1055835506857834,0.2339307521995172,0.167286697988025,407.83,1,Q1,1,Q1,3,Q3,2,Q2
AOJb.CO,2010,0.8479012879513235,0.6257592959544904,0.8102510070109501,0.9218996376731764,0.1052081872061023,283.52,5,Q5,5,Q5,5,Q5,5,Q5
APETIT.HE,2010,-0.0459806452746017,-0.096468553517414,0.0734746178441998,0.2133517013582228,0.107858097356647,820.01,1,Q1,1,Q1,2,Q2,2,Q2
AQ.ST,2010,0.1390188392970034,0.1343654708892208,0.1717359516872905,0.4824879776837063,0.076550528894999,672.99,3,Q3,3,Q3,3,Q3,3,Q3
ARRA.OL,2010,-0.1187142145880011,-0.1890642753797551,0.038595206440477,0.1305637297402634,0.1046376751605971,18.04,1,Q1,1,Q1,2,Q2,1,Q1
