Ticker,FormationYear,theta_obs,theta_post_mean,p_q5,sigma_acc,MarketCap,Method1_Raw_PortfolioNum,Method1_Raw_Portfolio,Method2_PostMean_PortfolioNum,Method2_PostMean_Portfolio,Method3_ProbQ5_PortfolioNum,Method3_ProbQ5_Portfolio
AAB.CO,2010,-0.5286506469500928,-0.5286506469500928,0.0005095190367747,0.0884176800257349,46.67,1,Q1,1,Q1,1,Q1
AAK.ST,2010,0.452191260105529,0.3704286243454767,0.5235327908209552,0.0982494322806428,5195.33,5,Q5,5,Q5,5,Q5
ABB.ST,2010,-1.3306413948688984,-1.3306413948688984,0.0,0.0585177804898382,244254.6,1,Q1,1,Q1,1,Q1
ACG1V.HE,2010,-1.2423343224530168,-1.2423343224530168,1.113879388725536e-08,0.0955744584278934,53.81,1,Q1,1,Q1,1,Q1
ACTI.ST,2010,-0.1178012186332962,-0.1178012186332962,0.0379158928429376,0.0871259200969937,5221.41,1,Q1,1,Q1,2,Q2
ADDTb.ST,2010,0.4013059207623751,0.3911791049399901,0.6334562872494456,0.0332524092627038,1193.13,5,Q5,5,Q5,5,Q5
AFAGR.HE,2010,-0.1006441223832528,-0.1006441223832528,0.1406041644994284,0.1760581213899271,4536.01,1,Q1,1,Q1,3,Q3
AFGA.OL,2010,0.3347653090225401,0.3207900437911924,0.4139302867431668,0.0452555992262601,2107.01,4,Q4,5,Q5,4,Q4
AFK.OL,2010,0.056797323631971,0.056797323631971,0.1942292114796382,0.1239614383069446,2736.16,2,Q2,2,Q2,3,Q3
AFRY.ST,2010,0.2271955287605978,0.2182684352414834,0.2093910804242617,0.05106966260322,2566.5,4,Q4,4,Q4,3,Q3
AGATE.CO,2010,0.0901279155578415,0.0901279155578415,0.2383115482460862,0.1389770560874537,726.11,2,Q2,2,Q2,4,Q4
AGFEb.CO,2010,-0.8359167404783003,-0.8359167404783003,0.0018390793264289,0.1664817258279812,248.02,1,Q1,1,Q1,1,Q1
AKAST.OL,2010,0.3014359311629946,0.2824360696472979,0.3538990705583598,0.058502619387196,4308.16,4,Q4,4,Q4,4,Q4
