FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs,median_sigma_raw,sigma_input_col,n_sigma_draws_used,tau2_floor_share
2010,312,0.11508326208917896,0.45087357972713193,0.10093812360425207,0.34993545612287985,0.35323361760037514,0.06827168750097021,sigma_mean,1,0.0
2011,323,0.12137756737293512,1.0813948848383437,0.22313072291573885,0.8582641619226048,0.35716747595486653,0.067763055758321,sigma_mean,1,0.0
2012,337,0.0984680481771584,0.364450488219796,0.08318559176608159,0.2812648964537144,0.34448740537157024,0.0630988679958156,sigma_mean,1,0.0
2013,351,0.0708174236571791,0.40741687747756306,0.09538966161198284,0.31202721586558024,0.3151515473841522,0.0563538422260279,sigma_mean,1,0.0
2014,364,0.051391829542892155,0.6864673554697251,0.15455043798294524,0.5319169174867799,0.26440349072882224,0.05786041025148605,sigma_mean,1,0.0
2015,376,0.1524870170495157,1.1762923118045194,0.278946871130133,0.8973454406743864,0.3019779578132983,0.0526134513113459,sigma_mean,1,0.0
2016,399,0.04008419442116522,1.3687476686128381,0.3277740093342063,1.0409736592786318,0.2780031321456135,0.0482609018125264,sigma_mean,1,0.0
2017,429,0.12180367571394159,0.564870318317524,0.12707924312343238,0.4377910751940916,0.3130359421260289,0.0468931875901265,sigma_mean,1,0.0
2018,443,0.050698035802394494,0.3208778625998575,0.08311269411320953,0.23776516848664797,0.28563519609879623,0.044223288472655,sigma_mean,1,0.0
2019,478,0.0654837325334686,0.934760479545971,0.2451590150576485,0.6896014644883225,0.29578314218814633,0.042389599112760454,sigma_mean,1,0.0
2020,502,-0.26720923454203876,34.8275755787413,8.984715215691109,25.842860363050193,0.2954029770740033,0.042179778163189,sigma_mean,1,0.0
2021,525,0.07684769324426026,0.1928416741520648,0.04969112856534443,0.14315054558672036,0.2682947168919225,0.0414436988295518,sigma_mean,1,0.0
2022,540,0.06321902969871686,0.4694859897229268,0.1182283995473911,0.3512575901755357,0.296563298130274,0.0409924615111356,sigma_mean,1,0.0
2023,568,-0.20125305270584765,54.588305359287,14.099771973188677,40.488533386098325,0.2879705852072393,0.04082037547184905,sigma_mean,1,0.0
2024,587,0.16135429518322722,2.7946747356412605,0.7465773157715202,2.04809741986974,0.28715185916643654,0.0403200754266926,sigma_mean,1,0.0
2025,612,0.09128858029349661,0.5669210502768152,0.1608878880573681,0.4060331622194471,0.2627484274705752,0.03910836821746595,sigma_mean,1,0.0
