Method,Portfolio,mean_excess_ann,volatility_ann,sharpe_ratio,max_drawdown
Method1_ObservedQuality,Q1,0.1075195810615657,0.17027160024712765,0.6314592739218675,-0.3581911999585527
Method1_ObservedQuality,Q2,0.1087857538425992,0.1596665749380574,0.6813307912742702,-0.3101975754450701
Method1_ObservedQuality,Q3,0.10869996999816012,0.12619258717706644,0.8613815789800581,-0.30557373221993817
Method1_ObservedQuality,Q4,0.1103386207574994,0.13670407559313644,0.8071348295854262,-0.2925836967747814
Method1_ObservedQuality,Q5,0.11151537328049578,0.12486756316202167,0.8930691883191411,-0.2252849798740469
Method2_LatentQuality,Q1,0.11141363489965243,0.1636161709942844,0.6809451304391204,-0.3648586002832573
Method2_LatentQuality,Q2,0.11864160603726681,0.15508452237941556,0.7650125506851622,-0.2863487735833576
Method2_LatentQuality,Q3,0.09063380547418895,0.13389307225718045,0.676911836783463,-0.3276070439315445
Method2_LatentQuality,Q4,0.11908620961762012,0.13053801546222474,0.9122722541471564,-0.24952223977564725
Method2_LatentQuality,Q5,0.11408602203748643,0.12829267231001307,0.8892637434646543,-0.20329383290777933
Method3_ConservativeQuality,Q1,0.10125461802197519,0.16809180275014166,0.6023768938482031,-0.350455666643366
Method3_ConservativeQuality,Q2,0.09659335079302986,0.16274870585381715,0.5935122512113318,-0.3707116658558452
Method3_ConservativeQuality,Q3,0.12384464882419509,0.13143463003824502,0.9422528049735341,-0.22013255073786273
Method3_ConservativeQuality,Q4,0.10324287378401781,0.12876699337882894,0.8017805733824982,-0.25785530810826685
Method3_ConservativeQuality,Q5,0.11236285874300596,0.12804268259226817,0.8775422106767932,-0.22528497987404678
Method4_ProbabilisticQuality,Q1,0.10398871623708983,0.17035863366877405,0.6104106026071662,-0.35816461552646955
Method4_ProbabilisticQuality,Q5,0.11158815890904378,0.12497650715197053,0.8928730803250357,-0.22531228837891565
