FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs,median_sigma_raw,sigma_input_col,n_sigma_draws_used,tau2_floor_share
2010,312,0.11508326208917896,0.45087357972713193,0.10096633134070802,0.3499072483864239,0.35323361760037514,0.0681360976677361,sigma_mean,1,0.0
2011,323,0.12137756737293512,1.0813948848383437,0.22669639405129438,0.8546984907870493,0.35716747595486653,0.0671422964902824,sigma_mean,1,0.0
2012,337,0.0984680481771584,0.364450488219796,0.08265582134768835,0.28179466687210764,0.34448740537157024,0.063224361932861,sigma_mean,1,0.0
2013,351,0.0708174236571791,0.40741687747756306,0.09520458903373082,0.31221228844383225,0.3151515473841522,0.056408206458556,sigma_mean,1,0.0
2014,364,0.051391829542892155,0.6864673554697251,0.15521430850751772,0.5312530469622074,0.26440349072882224,0.0577920624799151,sigma_mean,1,0.0
2015,376,0.1524870170495157,1.1762923118045194,0.2776283688071192,0.8986639429974002,0.3019779578132983,0.052708515897918154,sigma_mean,1,0.0
2016,399,0.04008419442116522,1.3687476686128381,0.3300423880731425,1.0387052805396957,0.2780031321456135,0.0481503490614585,sigma_mean,1,0.0
2017,429,0.12180367571394159,0.564870318317524,0.1262378623519913,0.4386324559655327,0.3130359421260289,0.0470516231911416,sigma_mean,1,0.0
2018,443,0.050698035802394494,0.3208778625998575,0.08199419962027106,0.23888366297958646,0.28563519609879623,0.0445176071557372,sigma_mean,1,0.0
2019,478,0.0654837325334686,0.934760479545971,0.2466832816724852,0.6880771978734858,0.29578314218814633,0.04228465495761645,sigma_mean,1,0.0
2020,502,-0.26720923454203876,34.8275755787413,8.96407138515654,25.863504193584763,0.2954029770740033,0.042151817991064,sigma_mean,1,0.0
2021,525,0.07684769324426026,0.1928416741520648,0.04952409281169397,0.14331758134037081,0.2682947168919225,0.0414537531126919,sigma_mean,1,0.0
2022,540,0.06321902969871686,0.4694859897229268,0.11795270167931103,0.3515332880436158,0.296563298130274,0.0410120913355687,sigma_mean,1,0.0
2023,568,-0.20125305270584765,54.588305359287,14.133464375712556,40.45484098357444,0.2879705852072393,0.0407183723439849,sigma_mean,1,0.0
2024,587,0.16135429518322722,2.7946747356412605,0.7496823597844103,2.0449923758568502,0.28715185916643654,0.0402246496757262,sigma_mean,1,0.0
2025,612,0.09128858029349661,0.5669210502768152,0.16116964371750228,0.40575140655931285,0.2627484274705752,0.038976994627783604,sigma_mean,1,0.0
