PortfolioStrategy,FactorModel,Method1_ObservedQuality_alpha_annualized,Method2_LatentQuality_alpha_annualized,Method3_ConservativeQuality_alpha_annualized,Method1_ObservedQuality_p_value,Method2_LatentQuality_p_value,Method3_ConservativeQuality_p_value,Method1_ObservedQuality_t_stat,Method2_LatentQuality_t_stat,Method3_ConservativeQuality_t_stat,Method2_LatentQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method3_ConservativeQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method2_LatentQuality_minus_Method1_ObservedQuality_p_value,Method3_ConservativeQuality_minus_Method1_ObservedQuality_p_value,Method2_LatentQuality_minus_Method1_ObservedQuality_t_stat,Method3_ConservativeQuality_minus_Method1_ObservedQuality_t_stat
LongShort,CAPM,0.05175270267800498,0.05956306078043405,0.032834206291584345,0.06271142833918364,0.023427056200501672,0.2588689813380214,1.8722285748222176,2.2848401739035364,1.1324581595820231,0.007810358102429049,-0.018918496386420666,0.8367178158129329,0.6380828369708307,0.20623497871478189,-0.4707591610138388
LongShort,FF3,0.04763767333296958,0.05530545342930829,0.02895354689008226,0.08105869903809881,0.030923909757725188,0.30751123972939576,1.754007294091367,2.174404071518641,1.0232357540729635,0.007667780096342943,-0.018684126442884613,0.836587095157626,0.6356171022007517,0.20640396263017688,-0.47422168551336685
LongShort,FF3+MOM,0.04204873305212148,0.032501156924222355,0.01662116865108487,0.1302876539330775,0.22474858602582715,0.5779302236153443,1.5196510488105943,1.2180262535354975,0.5573861122855461,-0.009547576127911649,-0.025427564401044513,0.8032225731584757,0.533929426101512,-0.2493556557854231,-0.6225960415161816
LongShort,FF5,0.03817319070340809,0.04785030084408385,0.020811506748051864,0.1736066203562936,0.0756362363396581,0.4727724581814561,1.3659415991854478,1.786567047705464,0.7194405913337616,0.009677110140681525,-0.017361683955354652,0.8028648353086036,0.6684994156247188,0.24981949890420105,-0.4285491180945283
LongShort,FF5+MOM,0.03730719097089166,0.029416558374049342,0.01427402413363666,0.19853829667008638,0.2954055236034536,0.6379370281735808,1.290353748868956,1.049307347153045,0.4713628526894641,-0.0078906325968474,-0.023033166837255637,0.844391677506704,0.5853163549649754,-0.19641693733007276,-0.5461145093590655
Q4,CAPM,0.028202635036660168,0.02865974211454777,0.02370743741783511,0.24132844770932693,0.3146319502846604,0.3503333018608972,1.1753425609364243,1.008218252196851,0.9362493453521977,0.0004571070778876321,-0.0044951976188250045,0.9902509015038983,0.898064774857422,0.012227029666204937,-0.12819208927021378
Q4,FF3,0.02790928663331827,0.028567126080795882,0.023438396133267286,0.21847873259553108,0.2569596409263508,0.32819421581482744,1.2347119172442664,1.137061792336922,0.9803074409613345,0.0006578394474591812,-0.004470890500069803,0.984595298763971,0.8927433782197092,0.01932097636426431,-0.13492498995054122
Q4,FF3+MOM,0.025496945504277925,0.01653882699014591,0.013899470163495343,0.23413986484457716,0.4715741610530273,0.5308296898192926,1.1936170086960343,0.7213841479019589,0.6279088725005333,-0.008958118514115966,-0.01159747534076555,0.7765670245569534,0.7081590194006466,-0.2840006754698968,-0.3746151559016923
Q4,FF5,0.025675590698717256,0.026772958408376506,0.021180856146609375,0.26492238430405646,0.28617334922727133,0.37866021213189893,1.118203133457973,1.0696269964654954,0.8824728597716252,0.0010973677096359907,-0.004494734552132243,0.9744540463596503,0.8932384204154171,0.032044126771589757,-0.13429944580495648
Q4,FF5+MOM,0.022019328874222314,0.014738694110983224,0.011180052131113224,0.31645593369544245,0.5157952504148247,0.6123105957771204,1.0044870491983424,0.6510916168436854,0.5076398606379682,-0.007280634763242137,-0.010839276743111088,0.8188634303385607,0.7293714270770908,-0.22916997448254112,-0.3462236622751458
