FormationYear,Exchange,n_firms,share_of_year
2010,Copenhagen,59,0.1891025641025641
2010,Helsinki,79,0.2532051282051282
2010,Oslo,61,0.1955128205128205
2010,Stockholm,110,0.3525641025641026
2010,Iceland,3,0.009615384615384616
2011,Copenhagen,61,0.18885448916408668
2011,Helsinki,80,0.2476780185758514
2011,Oslo,64,0.19814241486068113
2011,Stockholm,114,0.35294117647058826
2011,Iceland,4,0.01238390092879257
2012,Copenhagen,64,0.18991097922848665
2012,Helsinki,79,0.2344213649851632
2012,Oslo,71,0.21068249258160238
2012,Stockholm,119,0.35311572700296734
2012,Iceland,4,0.011869436201780416
2013,Copenhagen,66,0.18803418803418803
2013,Helsinki,81,0.23076923076923078
2013,Oslo,73,0.20797720797720798
2013,Stockholm,126,0.358974358974359
2013,Iceland,5,0.014245014245014245
2014,Copenhagen,68,0.18681318681318682
2014,Helsinki,82,0.22527472527472528
2014,Oslo,77,0.21153846153846154
2014,Stockholm,128,0.3516483516483517
2014,Iceland,9,0.024725274725274724
2015,Copenhagen,70,0.18617021276595744
2015,Helsinki,84,0.22340425531914893
2015,Oslo,80,0.2127659574468085
2015,Stockholm,133,0.3537234042553192
2015,Iceland,9,0.023936170212765957
2016,Copenhagen,70,0.17543859649122806
2016,Helsinki,85,0.21303258145363407
2016,Oslo,85,0.21303258145363407
2016,Stockholm,147,0.3684210526315789
2016,Iceland,12,0.03007518796992481
2017,Copenhagen,75,0.17482517482517482
2017,Helsinki,87,0.20279720279720279
2017,Oslo,92,0.21445221445221446
2017,Stockholm,163,0.37995337995337997
2017,Iceland,12,0.027972027972027972
2018,Copenhagen,75,0.16930022573363432
2018,Helsinki,89,0.20090293453724606
2018,Oslo,95,0.2144469525959368
2018,Stockholm,171,0.3860045146726862
2018,Iceland,13,0.029345372460496615
2019,Copenhagen,77,0.16108786610878661
2019,Helsinki,95,0.19874476987447698
2019,Oslo,97,0.20292887029288703
2019,Stockholm,196,0.4100418410041841
2019,Iceland,13,0.027196652719665274
2020,Copenhagen,80,0.1593625498007968
2020,Helsinki,96,0.19123505976095617
2020,Oslo,104,0.20717131474103587
2020,Stockholm,209,0.4163346613545817
2020,Iceland,13,0.025896414342629483
2021,Copenhagen,82,0.15619047619047619
2021,Helsinki,99,0.18857142857142858
2021,Oslo,110,0.20952380952380953
2021,Stockholm,220,0.41904761904761906
2021,Iceland,14,0.02666666666666667
2022,Copenhagen,83,0.1537037037037037
2022,Helsinki,97,0.17962962962962964
2022,Oslo,120,0.2222222222222222
2022,Stockholm,226,0.4185185185185185
2022,Iceland,14,0.025925925925925925
2023,Copenhagen,84,0.14788732394366197
2023,Helsinki,104,0.18309859154929578
2023,Oslo,128,0.22535211267605634
2023,Stockholm,236,0.4154929577464789
2023,Iceland,16,0.028169014084507043
2024,Copenhagen,84,0.14310051107325383
2024,Helsinki,111,0.1890971039182283
2024,Oslo,131,0.2231686541737649
2024,Stockholm,243,0.41396933560477
2024,Iceland,18,0.030664395229982964
2025,Copenhagen,85,0.1388888888888889
2025,Helsinki,112,0.1830065359477124
2025,Oslo,142,0.23202614379084968
2025,Stockholm,254,0.4150326797385621
2025,Iceland,19,0.03104575163398693
