FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs,median_sigma_raw,sigma_input_col
2010,321,0.1143401747373561,0.23017273115650028,0.1435352366331305,0.08663749452336977,0.352694980280632,0.07351615497201,sigma_acc
2011,337,0.13998688796097025,0.1712246961943114,0.10463311131382033,0.06659158488049108,0.35046584964119276,0.072061705658854,sigma_acc
2012,346,0.11211043236438356,0.22691738245564747,0.12869520783493932,0.09822217462070815,0.34516260631269,0.0689928936584233,sigma_acc
2013,361,0.08741615889622598,0.1765072645243508,0.0880389279511281,0.08846833657322271,0.3129797605409168,0.0662743193131842,sigma_acc
2014,370,0.05410280008189549,0.22191307489908682,0.13828879184454196,0.08362428305454486,0.2630946159200655,0.0598118128349343,sigma_acc
2015,384,0.0992221025345118,0.17571545627961574,0.12332642940322287,0.052389026876392866,0.3001698358307645,0.0500761751931984,sigma_acc
2016,423,0.06993024439050738,0.24943128714275772,0.19829687404344545,0.05113441309931227,0.2781882485734795,0.0475013310500077,sigma_acc
2017,440,0.10718886183319888,0.21714043335730746,0.13862953956640542,0.07851089379090204,0.312638469177002,0.04766053325856945,sigma_acc
2018,474,0.052433495999173615,0.25223081979438516,0.20629272931132214,0.04593809048306302,0.27436417439173394,0.046740057325288895,sigma_acc
2019,497,0.06377933166550209,0.3257839687389376,0.34772367757331507,1e-08,0.2978264802429735,0.0448010446629872,sigma_acc
2020,518,0.07369885002736166,0.35182131365293073,0.3334929523026475,0.018328361350283207,0.29591783133324695,0.0463595719335758,sigma_acc
2021,540,0.0716475449413749,0.14606697778365316,0.11926558395611167,0.026801393827541486,0.2672174680484412,0.047409518182083804,sigma_acc
2022,561,0.08812308210389234,0.1938616223006482,0.16243597183807737,0.03142565046257084,0.2925150187217386,0.0468058175208598,sigma_acc
2023,588,0.11180847456761939,0.12241918065093882,0.09683442376025904,0.02558475689067978,0.2888892376496719,0.0458300867642157,sigma_acc
2024,610,0.1279754990829099,0.2326759407521719,0.19036312062291036,0.04231282012926155,0.28724124106585913,0.04569309871299015,sigma_acc
2025,626,0.1190460906286537,0.18297874225700758,0.1720990983428826,0.010879643914124992,0.2646208165871613,0.04244821994766655,sigma_acc
