FormationYear,Method,Exchange,Portfolio,n_firms,share_of_exchange
2010,Method1_Raw,Copenhagen,Q1,16,0.2711864406779661
2010,Method1_Raw,Copenhagen,Q2,13,0.22033898305084745
2010,Method1_Raw,Copenhagen,Q3,10,0.1694915254237288
2010,Method1_Raw,Copenhagen,Q4,8,0.13559322033898305
2010,Method1_Raw,Copenhagen,Q5,12,0.2033898305084746
2010,Method1_Raw,Helsinki,Q1,18,0.22784810126582278
2010,Method1_Raw,Helsinki,Q2,15,0.189873417721519
2010,Method1_Raw,Helsinki,Q3,16,0.20253164556962025
2010,Method1_Raw,Helsinki,Q4,11,0.13924050632911392
2010,Method1_Raw,Helsinki,Q5,19,0.24050632911392406
2010,Method1_Raw,Oslo,Q1,16,0.26229508196721313
2010,Method1_Raw,Oslo,Q2,15,0.2459016393442623
2010,Method1_Raw,Oslo,Q3,11,0.18032786885245902
2010,Method1_Raw,Oslo,Q4,11,0.18032786885245902
2010,Method1_Raw,Oslo,Q5,8,0.13114754098360656
2010,Method1_Raw,Stockholm,Q1,13,0.11818181818181818
2010,Method1_Raw,Stockholm,Q2,19,0.17272727272727273
2010,Method1_Raw,Stockholm,Q3,25,0.22727272727272727
2010,Method1_Raw,Stockholm,Q4,30,0.2727272727272727
2010,Method1_Raw,Stockholm,Q5,23,0.20909090909090908
2010,Method2_PostMean,Copenhagen,Q1,16,0.2711864406779661
2010,Method2_PostMean,Copenhagen,Q2,12,0.2033898305084746
2010,Method2_PostMean,Copenhagen,Q3,11,0.1864406779661017
2010,Method2_PostMean,Copenhagen,Q4,9,0.15254237288135594
2010,Method2_PostMean,Copenhagen,Q5,11,0.1864406779661017
2010,Method2_PostMean,Helsinki,Q1,15,0.189873417721519
2010,Method2_PostMean,Helsinki,Q2,19,0.24050632911392406
2010,Method2_PostMean,Helsinki,Q3,15,0.189873417721519
2010,Method2_PostMean,Helsinki,Q4,12,0.1518987341772152
2010,Method2_PostMean,Helsinki,Q5,18,0.22784810126582278
2010,Method2_PostMean,Oslo,Q1,19,0.3114754098360656
2010,Method2_PostMean,Oslo,Q2,11,0.18032786885245902
2010,Method2_PostMean,Oslo,Q3,10,0.16393442622950818
2010,Method2_PostMean,Oslo,Q4,11,0.18032786885245902
2010,Method2_PostMean,Oslo,Q5,10,0.16393442622950818
2010,Method2_PostMean,Stockholm,Q1,13,0.11818181818181818
2010,Method2_PostMean,Stockholm,Q2,20,0.18181818181818182
2010,Method2_PostMean,Stockholm,Q3,26,0.23636363636363636
2010,Method2_PostMean,Stockholm,Q4,28,0.2545454545454545
2010,Method2_PostMean,Stockholm,Q5,23,0.20909090909090908
2010,Method3_ProbQ5,Copenhagen,Q1,15,0.2542372881355932
2010,Method3_ProbQ5,Copenhagen,Q2,12,0.2033898305084746
2010,Method3_ProbQ5,Copenhagen,Q3,9,0.15254237288135594
2010,Method3_ProbQ5,Copenhagen,Q4,12,0.2033898305084746
2010,Method3_ProbQ5,Copenhagen,Q5,11,0.1864406779661017
2010,Method3_ProbQ5,Helsinki,Q1,17,0.21518987341772153
2010,Method3_ProbQ5,Helsinki,Q2,16,0.20253164556962025
2010,Method3_ProbQ5,Helsinki,Q3,15,0.189873417721519
2010,Method3_ProbQ5,Helsinki,Q4,13,0.16455696202531644
2010,Method3_ProbQ5,Helsinki,Q5,18,0.22784810126582278
2010,Method3_ProbQ5,Oslo,Q1,15,0.2459016393442623
2010,Method3_ProbQ5,Oslo,Q2,15,0.2459016393442623
2010,Method3_ProbQ5,Oslo,Q3,12,0.19672131147540983
2010,Method3_ProbQ5,Oslo,Q4,10,0.16393442622950818
2010,Method3_ProbQ5,Oslo,Q5,9,0.14754098360655737
2010,Method3_ProbQ5,Stockholm,Q1,16,0.14545454545454545
2010,Method3_ProbQ5,Stockholm,Q2,18,0.16363636363636364
2010,Method3_ProbQ5,Stockholm,Q3,26,0.23636363636363636
2010,Method3_ProbQ5,Stockholm,Q4,26,0.23636363636363636
2010,Method3_ProbQ5,Stockholm,Q5,24,0.21818181818181817
2011,Method1_Raw,Copenhagen,Q1,15,0.2459016393442623
2011,Method1_Raw,Copenhagen,Q2,14,0.22950819672131148
2011,Method1_Raw,Copenhagen,Q3,13,0.21311475409836064
2011,Method1_Raw,Copenhagen,Q4,7,0.11475409836065574
2011,Method1_Raw,Copenhagen,Q5,12,0.19672131147540983
2011,Method1_Raw,Helsinki,Q1,13,0.1625
2011,Method1_Raw,Helsinki,Q2,14,0.175
2011,Method1_Raw,Helsinki,Q3,16,0.2
2011,Method1_Raw,Helsinki,Q4,17,0.2125
