FormationYear,Exchange,n_firms,share_of_year
2010,Copenhagen,59,0.19093851132686085
2010,Helsinki,79,0.255663430420712
2010,Oslo,61,0.19741100323624594
2010,Stockholm,110,0.3559870550161812
2011,Copenhagen,61,0.19122257053291536
2011,Helsinki,80,0.2507836990595611
2011,Oslo,64,0.2006269592476489
2011,Stockholm,114,0.3573667711598746
2012,Copenhagen,64,0.1921921921921922
2012,Helsinki,79,0.23723723723723725
2012,Oslo,71,0.2132132132132132
2012,Stockholm,119,0.35735735735735735
2013,Copenhagen,66,0.1907514450867052
2013,Helsinki,81,0.23410404624277456
2013,Oslo,73,0.21098265895953758
2013,Stockholm,126,0.36416184971098264
2014,Copenhagen,68,0.19154929577464788
2014,Helsinki,82,0.23098591549295774
2014,Oslo,77,0.21690140845070421
2014,Stockholm,128,0.36056338028169016
2015,Copenhagen,70,0.1907356948228883
2015,Helsinki,84,0.22888283378746593
2015,Oslo,80,0.21798365122615804
2015,Stockholm,133,0.36239782016348776
2016,Copenhagen,70,0.18087855297157623
2016,Helsinki,85,0.21963824289405684
2016,Oslo,85,0.21963824289405684
2016,Stockholm,147,0.3798449612403101
2017,Copenhagen,75,0.17985611510791366
2017,Helsinki,87,0.20863309352517986
2017,Oslo,92,0.22062350119904076
2017,Stockholm,163,0.3908872901678657
2018,Copenhagen,75,0.1744186046511628
2018,Helsinki,89,0.2069767441860465
2018,Oslo,95,0.22093023255813954
2018,Stockholm,171,0.39767441860465114
2019,Copenhagen,77,0.16559139784946236
2019,Helsinki,95,0.20430107526881722
2019,Oslo,97,0.2086021505376344
2019,Stockholm,196,0.421505376344086
2020,Copenhagen,80,0.16359918200409
2020,Helsinki,96,0.19631901840490798
2020,Oslo,104,0.21267893660531698
2020,Stockholm,209,0.4274028629856851
2021,Copenhagen,82,0.16046966731898238
2021,Helsinki,99,0.19373776908023482
2021,Oslo,110,0.21526418786692758
2021,Stockholm,220,0.43052837573385516
2022,Copenhagen,83,0.15779467680608364
2022,Helsinki,97,0.1844106463878327
2022,Oslo,120,0.22813688212927757
2022,Stockholm,226,0.4296577946768061
2023,Copenhagen,84,0.15217391304347827
2023,Helsinki,104,0.18840579710144928
2023,Oslo,128,0.2318840579710145
2023,Stockholm,236,0.427536231884058
2024,Copenhagen,84,0.14762741652021089
2024,Helsinki,111,0.19507908611599298
2024,Oslo,131,0.23022847100175747
2024,Stockholm,243,0.4270650263620387
2025,Copenhagen,85,0.1433389544688027
2025,Helsinki,112,0.18887015177065766
2025,Oslo,142,0.23946037099494097
2025,Stockholm,254,0.42833052276559863
