Method,FormationYear,HoldDate,Quintile,ew_ret,n_firms
M1,2010,2010-07-01,Q5-Q1,0.004087211981647708,117
M1,2010,2010-08-01,Q5-Q1,0.05433479786961125,117
M1,2010,2010-09-01,Q5-Q1,-0.009985328960133828,117
M1,2010,2010-10-01,Q5-Q1,0.01172568463540977,117
M1,2010,2010-11-01,Q5-Q1,0.03601775337834834,117
M1,2010,2010-12-01,Q5-Q1,0.000807649467281138,117
M1,2010,2011-01-01,Q5-Q1,-0.08021039356575074,117
M1,2010,2011-02-01,Q5-Q1,0.05175665400457637,117
M1,2010,2011-03-01,Q5-Q1,0.02232283647122571,117
M1,2010,2011-04-01,Q5-Q1,-0.006352669946928211,117
M1,2010,2011-05-01,Q5-Q1,0.06003160760771597,117
M1,2010,2011-06-01,Q5-Q1,0.07666099598865661,117
M1,2011,2011-07-01,Q5-Q1,-0.022514143327104764,123
M1,2011,2011-08-01,Q5-Q1,0.03951410130287354,123
M1,2011,2011-09-01,Q5-Q1,0.032728952191040855,123
M1,2011,2011-10-01,Q5-Q1,0.04770054820376546,123
M1,2011,2011-11-01,Q5-Q1,0.06114478231770834,123
M1,2011,2011-12-01,Q5-Q1,0.004918559634917424,123
M1,2011,2012-01-01,Q5-Q1,-0.055948204708844054,123
M1,2011,2012-02-01,Q5-Q1,0.00502957700100181,123
M1,2011,2012-03-01,Q5-Q1,-0.0014842150171380114,123
M1,2011,2012-04-01,Q5-Q1,0.04602663915372678,123
M1,2011,2012-05-01,Q5-Q1,0.030508807379324404,123
M1,2011,2012-06-01,Q5-Q1,0.02969277939388354,123
M1,2012,2012-07-01,Q5-Q1,-0.023974080256359963,126
M1,2012,2012-08-01,Q5-Q1,0.020922486343025154,126
M1,2012,2012-09-01,Q5-Q1,-0.01366746397679166,126
M1,2012,2012-10-01,Q5-Q1,0.04363329083488895,126
M1,2012,2012-11-01,Q5-Q1,0.04884769950803235,126
M1,2012,2012-12-01,Q5-Q1,0.010921868612406621,126
M1,2012,2013-01-01,Q5-Q1,-0.057186934883555814,126
M1,2012,2013-02-01,Q5-Q1,0.041100883274196656,126
M1,2012,2013-03-01,Q5-Q1,0.005628605231420152,126
M1,2012,2013-04-01,Q5-Q1,0.01992818790331636,126
M1,2012,2013-05-01,Q5-Q1,-0.06677020907381137,126
M1,2012,2013-06-01,Q5-Q1,-0.01507897531349614,126
M1,2013,2013-07-01,Q5-Q1,0.03216393649402682,135
M1,2013,2013-08-01,Q5-Q1,0.025827307082959022,135
M1,2013,2013-09-01,Q5-Q1,-0.005979943395231287,135
M1,2013,2013-10-01,Q5-Q1,0.03186152881949664,135
M1,2013,2013-11-01,Q5-Q1,-0.004085282524696074,135
M1,2013,2013-12-01,Q5-Q1,0.03139166808310022,135
M1,2013,2014-01-01,Q5-Q1,-0.05839120794713086,135
M1,2013,2014-02-01,Q5-Q1,-0.03417676386649458,135
