FormationYear,n_firms,mu_t,var_obs_t,avg_obs_var_i,tau2_t,q5_cutoff_obs,median_sigma_raw,sigma_input_col,n_sigma_draws_used,tau2_floor_share
2010,312,0.11508326208917896,0.45087357972713193,0.10108361601210684,0.3497899637150251,0.35323361760037514,0.0683794849593436,sigma_mean,1,0.0
2011,323,0.12137756737293512,1.0813948848383437,0.2252246476083357,0.856170237230008,0.35716747595486653,0.0676295962968778,sigma_mean,1,0.0
2012,337,0.0984680481771584,0.364450488219796,0.08276452485253337,0.2816859633672626,0.34448740537157024,0.0633965196822861,sigma_mean,1,0.0
2013,351,0.0708174236571791,0.40741687747756306,0.09502593048229502,0.31239094699526804,0.3151515473841522,0.0424795405057558,sigma_mean,1,0.0
2014,364,0.051391829542892155,0.6864673554697251,0.15462639924110722,0.5318409562286179,0.26440349072882224,0.058113545674394945,sigma_mean,1,0.0
2015,376,0.1524870170495157,1.1762923118045194,0.28077453125129537,0.8955177805532241,0.3019779578132983,0.052620886487091595,sigma_mean,1,0.0
2016,399,0.04008419442116522,1.3687476686128381,0.3337981296770774,1.0349495389357608,0.2780031321456135,0.04807364365497,sigma_mean,1,0.0
2017,429,0.12180367571394159,0.564870318317524,0.12703704568447075,0.43783327263305327,0.3130359421260289,0.0470018494948988,sigma_mean,1,0.0
2018,443,0.050698035802394494,0.3208778625998575,0.08226729238168103,0.2386105702181765,0.28563519609879623,0.0445462502919997,sigma_mean,1,0.0
2019,478,0.0654837325334686,0.934760479545971,0.2457676895898787,0.6889927899560923,0.29578314218814633,0.042413951885909504,sigma_mean,1,0.0
2020,502,-0.26720923454203876,34.8275755787413,8.966956893259033,25.860618685482272,0.2954029770740033,0.0422025265893841,sigma_mean,1,0.0
2021,525,0.07684769324426026,0.1928416741520648,0.04986215845753524,0.14297951569452955,0.2682947168919225,0.0413806177399312,sigma_mean,1,0.0
2022,540,0.06321902969871686,0.4694859897229268,0.11801933863730003,0.3514666510856268,0.296563298130274,0.04106164719210415,sigma_mean,1,0.0
2023,568,-0.20125305270584765,54.588305359287,14.122093300398152,40.46621205888884,0.2879705852072393,0.040757266242732154,sigma_mean,1,0.0
2024,587,0.16135429518322722,2.7946747356412605,0.7554232039648142,2.039251531676446,0.28715185916643654,0.0400827605280879,sigma_mean,1,0.0
2025,612,0.09128858029349661,0.5669210502768152,0.1625889656836852,0.40433208459312997,0.2627484274705752,0.038918643796882646,sigma_mean,1,0.0
