company_name,sector,period_end,revenue,gross_profit,ebit,ebitda,net_income_before_minority,net_income,shares_diluted,total_equity,cash,current_assets,current_liabilities,short_term_debt,long_term_debt,shares_outstanding,ocf,dividends_paid,da_cf_reconcile,wc_change_cf,capex
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2001-03-31,414.41,175.89,24.49,35.17,14.16,14.16,67.07,268.72,127.66,603.31,489.91,46.92,163.12,67.07,57.6,,,37.3,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2001-06-30,495.14,165.61,19.44,28.39,13.97,13.97,67.07,283.22,179.08,674.97,562.12,75.19,154.67,67.07,78.6,,,35.4,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2001-09-30,475.47,186.61,18.85,28.73,12.04,12.04,67.07,295.26,139.15,808.07,680.37,117.43,151.13,67.07,-67.9,,,-97.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2001-12-31,632.19,220.66,35.32,41.65,13.38,13.38,67.07,293.13,163.84,915.81,700.85,45.27,256.48,335.33,,,,,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2002-03-31,573.86,203.64,10.73,19.72,3.8,3.8,66.98,296.69,92.96,900.04,748.57,144.97,202.9,67.07,-92.3,,,-111.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2002-06-30,892.61,222.28,13.3,22.38,8.8,8.8,66.98,306.43,156.21,1057.51,897.38,101.43,207.04,67.07,144.5,,,120.9,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2002-09-30,839.51,238.74,40.81,55.99,25.43,25.43,66.98,330.29,319.92,1245.52,1036.39,95.02,260.33,67.07,151.53,,,108.07,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2002-12-31,824.56,296.59,35.1,48.19,19.41,19.41,66.98,325.55,258.67,1127.23,863.87,88.83,306.23,334.88,-101.84,,,-141.41,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2003-03-31,633.48,237.64,-4.06,14.14,-10.2,-10.2,66.98,314.67,290.85,1131.72,880.42,102.38,326.48,66.98,35.4,,,30.6,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2003-06-30,708.19,236.8,50.6,70.05,26.81,26.81,66.98,339.21,253.17,1181.19,909.28,132.51,294.44,334.88,-6.7,,,-61.6,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2003-09-30,726.54,230.97,14.77,30.78,5.47,5.47,66.98,343.02,267.85,1027.67,837.31,103.39,218.87,334.88,137.38,,,113.85,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2003-12-31,863.95,264.64,-22.7,-7.54,-8.07,-8.07,66.88,322.36,228.96,1147.66,990.78,62.8,216.07,66.88,-4.46,,,4.88,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2004-03-31,927.44,301.22,121.35,134.61,15.94,15.94,66.88,350.5,224.9,1138.18,946.28,57.37,222.49,334.42,15.31,0.0,,-20.29,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2004-06-30,907.22,255.62,127.36,137.95,10.46,10.46,66.88,348.24,262.89,1017.33,1082.68,108.14,209.15,66.88,18.5,13.38,,6.62,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2004-09-30,914.8,277.69,164.31,177.11,25.42,25.42,66.88,373.88,197.14,904.41,981.25,92.53,206.59,66.88,-55.94,0.0,,-119.61,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2004-12-31,1031.29,384.46,-135.96,-113.9,18.63,18.63,66.98,393.57,464.46,1414.53,1130.14,132.71,202.12,334.79,224.34,0.0,,201.81,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2005-03-31,849.95,315.76,188.91,201.86,18.43,18.43,66.96,410.76,411.24,1406.08,1100.0,124.94,212.87,334.79,-38.63,0.0,,-77.48,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2005-06-30,1008.9,300.1,154.97,169.44,27.37,27.37,66.96,366.58,337.87,983.79,1023.57,39.09,193.32,66.96,145.24,66.97,,99.7,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2005-09-30,1000.46,316.14,149.43,165.88,20.81,20.81,66.96,385.65,372.48,1029.6,1076.52,62.55,242.73,66.96,41.7,0.0,,-4.33,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2005-12-31,1315.56,425.49,302.97,323.2,21.15,21.15,67.15,432.69,211.64,1465.35,1210.09,95.28,205.1,344.13,-165.5,0.02,,-203.37,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2006-03-31,1335.15,435.56,257.71,274.99,28.9,28.9,68.83,459.73,297.35,1607.42,1341.43,196.41,188.58,344.13,18.07,,,-39.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2006-06-30,1314.47,439.48,291.05,307.61,33.74,33.74,68.83,451.52,169.42,1607.71,1366.61,150.76,197.76,68.83,10.79,,,-53.38,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2006-09-30,1204.1,410.54,251.7,271.41,34.3,34.3,68.83,489.32,209.42,1662.64,1374.85,103.08,203.72,68.83,112.94,0.0,,40.61,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2006-12-31,1503.99,391.78,195.86,216.11,37.29,37.29,68.68,534.12,167.11,1633.89,1424.87,214.1,165.62,344.07,-44.02,0.0,,-86.95,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2007-03-31,1346.59,1346.59,50.44,69.21,33.54,33.54,68.72,531.58,92.68,1518.38,1283.85,68.8,176.33,344.07,114.62,,18.77,46.33,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2007-06-30,1299.49,1299.49,54.33,78.37,39.56,39.56,68.85,519.76,217.09,1486.14,1251.7,126.3,178.52,68.81,136.65,,21.79,67.04,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2007-09-30,1334.65,1334.65,62.96,79.04,45.65,45.65,68.74,549.29,181.01,1735.42,1458.15,183.52,177.88,68.26,-67.68,0.0,16.07,-134.52,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2007-12-31,1557.69,1557.69,61.29,86.54,55.85,54.98,65.4,609.14,146.44,1972.2,1765.5,159.09,129.75,341.28,195.63,0.0,,100.7,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2008-03-31,1317.0,1317.0,52.0,71.0,35.0,35.0,68.85,646.0,118.0,1847.0,1554.0,156.0,156.0,346.75,-35.0,0.0,19.0,-109.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2008-06-30,1529.0,1529.0,61.0,77.0,46.0,44.0,70.74,625.0,86.0,1970.0,1761.0,216.0,144.0,69.35,65.0,83.0,16.0,-19.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2008-09-30,1508.0,1508.0,81.0,104.0,48.0,48.0,68.5,686.0,98.0,1984.0,1959.0,278.0,101.0,69.22,239.0,0.0,23.0,116.0,
