company_name,sector,period_end,revenue,gross_profit,ebit,ebitda,net_income_before_minority,net_income,shares_diluted,total_equity,cash,current_assets,current_liabilities,short_term_debt,long_term_debt,shares_outstanding,ocf,dividends_paid,da_cf_reconcile,wc_change_cf,capex
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2008-12-31,1562.44,1562.44,132.42,163.8,90.36,90.73,68.86,778.0,131.0,2168.0,2133.0,352.0,110.0,69.03,133.61,0.13,30.31,-1.84,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2009-03-31,1258.0,1258.0,53.0,71.0,35.0,35.0,69.35,798.0,94.0,1917.0,1944.0,214.0,97.0,346.75,238.0,0.0,18.0,163.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2009-06-30,1385.0,1385.0,78.0,99.0,53.0,53.0,69.55,746.0,80.0,1857.0,1979.0,296.0,77.0,70.39,104.0,99.0,21.0,-9.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2009-09-30,1278.0,1278.0,89.0,110.0,93.0,93.0,69.4,832.0,127.0,1831.0,1934.0,173.0,92.0,70.39,232.0,0.0,21.0,136.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2009-12-31,1479.0,1479.0,114.0,137.0,88.0,88.0,70.01,914.0,223.0,1762.0,1834.0,79.85,32.0,70.25,764.42,0.0,23.0,255.12,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2010-03-31,1423.0,1423.0,86.0,109.0,65.0,65.0,69.89,982.0,260.0,1710.0,1720.0,54.0,21.0,70.32,84.0,,23.0,-24.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2010-06-30,1456.0,1456.0,80.0,104.0,58.0,58.0,72.3,947.0,231.0,1742.0,1781.0,52.0,18.0,70.76,82.0,,24.0,-22.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2010-09-30,1399.0,1399.0,78.0,103.0,60.0,60.0,75.95,1013.0,230.0,1625.0,1673.0,42.0,17.0,70.72,44.0,1.0,25.0,-99.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2010-12-31,1550.0,1550.0,121.0,147.0,94.0,94.0,71.85,967.0,622.0,2034.0,1682.0,23.0,49.0,70.67,50.0,141.0,25.0,34.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2011-03-31,1467.0,618.0,46.0,68.0,43.0,43.0,70.67,1147.0,793.0,2334.0,1804.0,16.0,37.0,70.67,67.0,0.0,22.0,-1.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2011-06-30,1701.0,580.0,59.0,78.0,61.0,61.0,76.25,887.0,640.0,2253.0,1986.0,18.0,17.0,75.99,200.0,346.0,19.0,130.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2011-09-30,1718.0,591.0,62.0,82.0,46.0,46.0,76.79,932.0,593.0,2449.0,2148.0,43.0,13.0,76.79,-62.0,0.0,20.0,-135.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2011-12-31,2471.0,845.0,144.0,168.0,153.0,144.0,77.54,1266.0,459.0,2701.0,2697.0,45.0,90.0,80.75,544.0,0.0,24.0,307.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2012-03-31,2313.0,853.0,57.0,82.0,53.0,52.0,80.78,1306.0,270.0,2579.0,2545.0,41.0,97.0,80.78,-124.0,0.0,25.0,-198.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2012-06-30,2503.0,786.0,96.0,121.0,85.0,79.0,81.44,1017.0,136.0,2523.0,2758.0,84.0,89.0,80.72,53.0,364.0,25.0,-48.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2012-09-30,2306.0,763.0,-7.0,20.0,4.0,-6.0,80.61,985.0,134.0,2809.0,3033.0,64.0,87.0,80.4,38.0,0.0,27.0,20.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2012-12-31,2709.0,989.0,91.0,121.0,83.0,70.0,81.48,1102.0,322.0,2982.0,3128.0,73.0,68.0,81.34,226.0,0.0,30.0,106.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2013-03-31,2376.0,902.0,50.0,78.0,71.0,73.0,82.02,1186.0,133.0,3130.0,3250.0,60.0,67.0,81.38,-120.0,6.0,28.0,-194.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2013-06-30,2709.0,943.0,124.0,151.0,94.0,85.0,84.16,905.0,141.0,2736.0,3112.0,100.0,44.0,81.38,388.0,373.0,27.0,252.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2013-09-30,2534.0,1066.0,147.0,173.0,113.0,102.0,84.3,1016.0,244.0,2941.0,3304.0,40.0,43.0,81.35,219.0,1.0,26.0,48.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2013-12-31,2508.0,1105.0,159.0,188.0,175.0,169.0,84.85,1228.0,695.0,3105.0,3419.0,50.0,29.0,82.25,529.0,4.0,29.0,346.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2014-03-31,2295.0,948.0,69.0,95.0,68.0,66.0,82.5,1541.0,968.0,3304.0,3275.0,144.0,29.0,88.09,-130.0,0.0,26.0,-206.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2014-06-30,2567.0,894.0,114.0,140.0,118.0,108.0,87.1,1095.0,555.0,3189.0,3623.0,259.0,11.0,87.75,24.0,529.0,26.0,-104.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2014-09-30,2343.0,948.0,122.0,150.0,134.0,119.0,86.86,1188.0,95.0,2601.0,3589.0,225.0,25.0,87.73,210.0,0.0,28.0,61.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2014-12-31,2730.0,1061.0,194.0,232.0,162.0,148.0,89.44,1362.0,91.0,2522.0,3525.0,252.0,63.0,88.67,-18.0,0.0,38.0,-88.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2015-03-31,2534.0,929.0,140.0,166.0,107.0,101.0,90.09,1682.0,394.0,2931.0,4042.0,60.0,152.0,91.43,493.0,0.0,26.0,387.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2015-06-30,3490.0,1168.0,254.0,286.0,183.0,163.0,92.09,1451.0,118.0,2913.0,4413.0,149.0,85.0,91.81,214.0,457.0,32.0,-5.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2015-09-30,2865.0,951.0,157.0,208.0,163.0,130.0,93.53,1442.0,220.0,2676.0,4175.0,41.0,76.0,91.7,304.0,0.0,51.0,103.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2015-12-31,3509.0,1300.0,293.0,326.0,325.0,304.0,96.27,1561.0,459.0,2348.0,3710.0,22.0,83.0,92.68,378.0,278.0,33.0,305.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2016-03-31,2707.0,1117.0,192.0,224.0,138.0,126.0,94.74,1706.0,536.0,2567.0,3826.0,41.0,89.0,91.42,149.0,0.0,32.0,18.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2016-06-30,3170.0,1121.0,234.0,267.0,185.0,157.0,94.58,1379.0,211.0,2506.0,4083.0,59.0,100.0,92.64,177.0,463.0,33.0,-82.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2016-09-30,3108.0,1200.0,271.0,345.0,183.0,161.0,95.27,1590.0,359.0,2768.0,4037.0,35.0,101.0,92.61,168.0,0.0,74.0,-195.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2016-12-31,2892.0,1316.0,321.0,360.0,281.0,247.0,94.34,1680.0,469.0,2760.0,4046.0,30.0,83.0,93.55,313.0,281.0,39.0,42.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2017-03-31,2662.0,1149.0,137.0,177.0,104.0,84.0,94.38,2047.0,907.0,3134.0,4298.0,13.0,109.0,97.18,412.0,0.0,39.0,287.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2017-06-30,3347.0,1112.0,205.0,247.0,200.0,170.0,96.05,1761.0,512.0,2931.0,4426.0,15.0,104.0,97.18,200.0,486.0,41.0,2.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2017-09-30,3399.0,1316.0,213.0,256.0,177.0,140.0,96.53,1724.0,883.0,3626.0,5119.0,15.0,111.0,97.14,403.0,0.0,43.0,147.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2017-12-31,4296.0,1447.0,254.0,300.0,273.0,227.0,97.71,1694.0,1098.0,3679.0,5003.0,19.0,102.0,97.82,325.0,343.0,46.0,338.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2018-03-31,3883.0,1295.0,154.0,198.0,152.0,130.0,97.96,1816.0,879.0,3760.0,5099.0,14.0,99.0,97.82,123.0,0.0,44.0,-52.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2018-06-30,4692.0,1376.0,229.0,271.0,191.0,150.0,98.04,1466.0,368.0,3411.0,5151.0,12.0,92.0,97.82,30.0,489.0,42.0,-220.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2018-09-30,4536.0,1359.0,237.0,285.0,255.0,219.0,97.77,1688.0,493.0,3758.0,5281.0,18.0,89.0,97.82,97.0,0.0,49.0,-188.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2018-12-31,5656.0,1940.0,311.0,361.0,323.0,273.0,98.35,1746.0,656.0,4149.0,5659.0,8.0,91.0,98.79,578.0,347.0,50.0,282.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2019-03-31,5214.0,1554.0,216.0,326.0,173.0,140.0,99.29,1964.0,405.0,4633.0,6658.0,260.0,748.0,99.61,248.0,0.0,110.0,-36.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2019-06-30,5863.0,1667.0,271.0,388.0,290.0,254.0,100.0,1495.0,370.0,4762.0,7252.0,742.0,828.0,99.61,275.0,498.0,117.0,-80.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2019-09-30,5069.0,1596.0,264.0,386.0,276.0,232.0,101.31,1831.0,186.0,4373.0,6590.0,433.0,817.0,,168.0,0.0,122.0,-203.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2019-12-31,6466.0,2011.0,343.0,541.0,287.0,228.0,102.47,2190.0,563.0,5136.0,8432.0,314.0,870.0,103.04,761.0,361.0,198.0,331.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2020-03-31,6607.0,1946.0,189.0,321.0,160.0,126.0,103.07,2285.0,764.0,5161.0,8447.0,371.0,860.0,102.87,481.0,0.0,132.0,211.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2020-06-30,6568.0,1760.0,199.0,336.0,201.0,162.0,103.07,2143.0,561.0,4841.0,8282.0,310.0,828.0,105.01,176.0,630.0,137.0,-112.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2020-09-30,6366.0,1845.0,304.0,438.0,301.0,251.0,104.58,2379.0,893.0,5570.0,8862.0,316.0,786.0,105.0,582.0,0.0,135.0,139.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2020-12-31,7485.0,2151.0,483.0,651.0,495.0,431.0,106.09,2593.0,708.0,5101.0,7942.0,338.0,788.0,105.86,-107.0,371.0,169.0,-474.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2021-03-31,6209.0,1923.0,258.0,394.0,194.0,165.0,106.45,2732.0,630.0,5243.0,7977.0,316.0,803.0,105.95,195.0,0.0,136.0,-115.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2021-06-30,7189.0,1843.0,300.0,441.0,279.0,221.0,105.74,2293.0,205.0,4761.0,8052.0,326.0,788.0,105.95,519.0,689.0,140.0,159.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2021-09-30,6358.0,1876.0,317.0,468.0,270.0,220.0,105.77,2525.0,593.0,5491.0,8389.0,342.0,768.0,105.92,361.0,0.0,151.0,-68.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2021-12-31,8112.0,2587.0,535.0,674.0,486.0,413.0,107.48,2654.0,680.0,5618.0,8193.0,355.0,644.0,106.8,305.0,427.0,139.0,-316.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2022-03-31,6809.0,1926.0,163.0,293.0,179.0,150.0,107.19,2703.0,974.0,5967.0,8554.0,276.0,677.0,106.86,595.0,0.0,130.0,421.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2022-06-30,8292.0,2105.0,346.0,483.0,337.0,285.0,106.74,2315.0,1086.0,6591.0,9522.0,545.0,695.0,106.7,608.0,695.0,136.0,189.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2022-09-30,7537.0,2112.0,250.0,383.0,207.0,156.0,106.16,2428.0,1036.0,6990.0,9847.0,366.0,733.0,106.7,268.0,0.0,133.0,-77.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2022-12-31,8567.0,2634.0,461.0,590.0,428.0,368.0,107.56,2576.0,765.0,6827.0,9713.0,723.0,682.0,107.7,-52.0,430.0,129.0,-574.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2023-03-31,7393.0,2120.0,-20.0,111.0,10.0,-3.0,107.7,2608.0,677.0,7320.0,10399.0,887.0,726.0,107.66,-43.0,0.0,131.0,-63.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2023-06-30,7853.0,2092.0,274.0,409.0,227.0,185.0,107.7,2069.0,494.0,6754.0,10662.0,1709.0,687.0,107.66,195.0,700.0,135.0,-114.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2023-09-30,6907.0,2079.0,141.0,283.0,78.0,45.0,107.7,2119.0,526.0,6767.0,10698.0,1500.0,751.0,107.57,467.0,0.0,142.0,240.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2023-12-31,8378.0,2760.0,319.0,489.0,200.0,175.0,107.99,2323.0,347.0,6241.0,10106.0,578.0,759.0,108.53,834.0,0.0,168.0,613.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2024-03-31,7187.0,2208.0,178.0,335.0,143.0,141.0,108.46,2450.0,348.0,6494.0,10360.0,873.0,817.0,108.48,104.0,0.0,156.0,-158.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2024-06-30,7651.0,2019.0,-6.0,167.0,14.0,-8.0,108.48,2078.0,411.0,6218.0,10676.0,986.0,823.0,108.48,631.0,380.0,173.0,544.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2024-09-30,7204.0,2314.0,279.0,464.0,222.0,201.0,108.65,2273.0,522.0,7008.0,11354.0,956.0,828.0,108.39,319.0,0.0,185.0,-101.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2024-12-31,8595.0,3061.0,587.0,775.0,455.0,374.0,109.04,2606.0,1033.0,6552.0,9978.0,503.0,808.0,109.29,1052.0,0.0,187.0,415.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2025-03-31,7129.0,2359.0,205.0,388.0,162.0,139.0,109.45,2771.0,1037.0,6541.0,9850.0,342.0,822.0,109.23,312.0,0.0,183.0,-25.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2025-06-30,7808.0,2401.0,319.0,497.0,308.0,272.0,109.24,2510.0,931.0,6705.0,10370.0,453.0,1213.0,109.23,567.0,546.0,178.0,101.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2025-09-30,7803.0,2293.0,359.0,557.0,312.0,258.0,109.79,2735.0,1626.0,7957.0,11296.0,353.0,1218.0,109.13,981.0,0.0,198.0,455.0,
AF Gruppen ASA (AFGA.OL),Construction & Engineering,2025-12-31,9252.0,3360.0,600.0,813.0,506.0,423.0,110.44,2901.0,2391.0,8012.0,10997.0,367.0,1140.0,110.06,1107.0,440.0,213.0,278.0,
Aker BP ASA (AKRBP.OL),Oil & Gas,2006-06-30,0.0,0.0,0.0,0.0,0.0,0.0,22.13,,,,,,,,0.01,,0.0,0.01,0.0
Aker BP ASA (AKRBP.OL),Oil & Gas,2006-09-30,0.0,-0.17,-7.3,-7.3,-0.5,-0.5,22.13,-0.76,0.16,2.83,0.13,0.0,3.47,22.13,,,,,
Aker BP ASA (AKRBP.OL),Oil & Gas,2006-12-31,0.0,-0.8,-3.57,-3.57,-0.78,-0.78,22.13,156.31,215.96,221.52,19.7,0.0,57.6,22.13,-0.89,,0.0,1.08,
Aker BP ASA (AKRBP.OL),Oil & Gas,2007-03-31,0.0,-0.54,-2.84,-2.84,-0.95,-0.95,22.13,159.27,178.97,186.13,1.86,,59.67,22.13,-41.39,,,-39.96,
Aker BP ASA (AKRBP.OL),Oil & Gas,2007-06-30,0.0,-1.03,-15.34,-15.27,-5.79,-5.79,22.13,158.6,166.02,186.15,12.61,2.49,62.27,22.13,-18.26,,,-6.74,
Aker BP ASA (AKRBP.OL),Oil & Gas,2007-09-30,0.0,-0.94,-5.68,-5.65,-11.29,-11.29,22.13,161.25,165.81,199.6,13.55,3.99,68.75,22.13,-13.71,,0.03,2.62,0.08
Aker BP ASA (AKRBP.OL),Oil & Gas,2007-12-31,,,-7.43,-7.43,-0.79,-0.79,22.13,159.03,147.64,191.87,11.06,0.2,68.83,22.13,-5.92,,0.01,0.94,5.42
Aker BP ASA (AKRBP.OL),Oil & Gas,2008-03-31,0.0,-1.82,-12.42,-12.35,-7.91,-7.91,22.13,161.39,139.72,197.34,9.59,1.56,74.28,22.13,-14.44,,0.07,-3.98,2.59
Aker BP ASA (AKRBP.OL),Oil & Gas,2008-06-30,17.62,8.21,-12.8,-8.03,-1.33,-1.33,22.13,151.55,118.47,203.27,20.11,2.91,75.25,22.13,-26.06,,0.08,8.65,-2.42
Aker BP ASA (AKRBP.OL),Oil & Gas,2008-09-30,19.06,6.82,-20.19,-14.77,1.04,1.04,22.13,137.98,82.88,177.61,26.79,3.7,66.06,22.13,-21.09,,0.08,-6.53,0.91
Aker BP ASA (AKRBP.OL),Oil & Gas,2008-12-31,81.64,62.77,34.16,50.34,36.46,36.46,220.93,531.47,213.91,358.67,61.0,,,71.83,83.19,,16.18,,71.56
Aker BP ASA (AKRBP.OL),Oil & Gas,2009-03-31,8.32,-0.16,-9.98,-8.34,1.06,1.06,71.83,549.52,277.59,350.66,82.82,,,71.83,89.8,,1.64,94.17,34.04
Aker BP ASA (AKRBP.OL),Oil & Gas,2009-06-30,10.29,1.62,-63.29,-61.44,-11.88,-11.88,71.83,563.48,212.64,288.58,82.82,0.0,0.0,71.83,-27.45,,1.85,-3.08,50.02
Aker BP ASA (AKRBP.OL),Oil & Gas,2009-09-30,11.02,2.62,-53.98,-47.95,-11.7,-11.7,71.83,615.34,169.31,247.67,116.88,0.0,0.0,71.83,-65.19,,2.22,22.29,2.83
Aker BP ASA (AKRBP.OL),Oil & Gas,2009-12-31,12.96,4.5,-72.59,-69.67,-66.69,-66.69,189.89,664.64,275.53,706.86,349.81,188.19,67.42,122.92,91.97,,2.92,-9.71,167.74
Aker BP ASA (AKRBP.OL),Oil & Gas,2010-03-31,16.58,0.85,-95.37,-86.7,-29.76,-29.76,122.92,619.2,154.26,576.21,366.87,225.63,67.1,122.92,-39.3,,11.4,-15.97,109.26
Aker BP ASA (AKRBP.OL),Oil & Gas,2010-06-30,14.26,0.82,-60.55,-53.45,-16.85,-16.85,122.92,549.95,70.95,477.97,423.47,280.21,62.54,122.92,48.84,,12.36,-0.7,142.4
Aker BP ASA (AKRBP.OL),Oil & Gas,2010-09-30,13.09,-0.84,-37.12,-30.34,-13.23,-13.23,122.92,594.83,191.28,618.83,637.03,503.29,70.52,122.92,-30.74,,9.06,6.88,45.93
Aker BP ASA (AKRBP.OL),Oil & Gas,2010-12-31,16.82,5.45,-112.41,-108.62,-62.9,-62.9,122.92,542.82,139.46,632.43,429.29,263.2,,122.92,338.21,,20.29,14.67,77.21
Aker BP ASA (AKRBP.OL),Oil & Gas,2011-03-31,17.74,5.52,-104.05,-100.67,-43.96,-43.96,122.92,525.66,154.69,679.5,478.32,356.28,105.63,122.92,-73.99,,10.8,-48.83,91.07
Aker BP ASA (AKRBP.OL),Oil & Gas,2011-06-30,17.7,2.43,-33.06,-29.27,-7.75,-7.75,122.92,532.5,146.6,689.13,570.08,461.77,108.77,122.92,-43.76,,8.95,-13.47,62.16
Aker BP ASA (AKRBP.OL),Oil & Gas,2011-09-30,14.9,2.91,-21.61,-18.51,-7.28,-7.28,126.93,564.18,144.65,632.58,551.31,425.18,100.04,135.22,30.05,,3.1,46.66,106.73
Aker BP ASA (AKRBP.OL),Oil & Gas,2011-12-31,27.4,14.69,-5.77,-2.03,-6.32,-6.32,136.38,615.16,142.31,498.03,180.13,63.51,98.22,141.51,338.46,,17.7,-41.17,66.51
Aker BP ASA (AKRBP.OL),Oil & Gas,2012-03-31,16.76,3.92,-102.86,-99.34,-17.91,-17.91,141.51,627.62,158.75,514.26,325.81,158.03,103.03,141.51,16.83,,3.66,61.7,98.06
