PortfolioStrategy,FactorModel,Method1_ObservedQuality_alpha_annualized,Method2_LatentQuality_alpha_annualized,Method3_ConservativeQuality_alpha_annualized,Method1_ObservedQuality_p_value,Method2_LatentQuality_p_value,Method3_ConservativeQuality_p_value,Method1_ObservedQuality_t_stat,Method2_LatentQuality_t_stat,Method3_ConservativeQuality_t_stat,Method2_LatentQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method3_ConservativeQuality_minus_Method1_ObservedQuality_alpha_difference_annualized,Method2_LatentQuality_minus_Method1_ObservedQuality_p_value,Method3_ConservativeQuality_minus_Method1_ObservedQuality_p_value,Method2_LatentQuality_minus_Method1_ObservedQuality_t_stat,Method3_ConservativeQuality_minus_Method1_ObservedQuality_t_stat
LongShort,CAPM,0.003307107368073608,-0.009280069888635709,0.0029640937393782835,0.9118983506878322,0.6913729316989894,0.9115671151187819,0.11084600937134083,-0.39782033110360515,0.11126448993238851,-0.012587177256709374,-0.00034301362869535536,0.7392002977407277,0.9932439086075138,-0.33324532631270565,-0.008475224751916059
LongShort,FF3,0.005029271739669373,-0.007811430675738773,0.004032102332356243,0.8652515000536125,0.7407942760772182,0.884309514714033,0.17001200054075585,-0.33147229002709966,0.14577977696944666,-0.012840702415407843,-0.0009971694073122356,0.7376666639343323,0.980861225610578,-0.3352850002401252,-0.02401110772497965
LongShort,FF3+MOM,-0.019087609816692552,-0.019977766453457464,-0.009733734882006696,0.5979182417003082,0.5531858999444172,0.772881170366067,-0.5286380055892468,-0.5944693591346006,-0.28918369058844723,-0.0008901566367628073,0.009353874934685789,0.9857501952757675,0.8531949141952699,-0.017876859830444212,0.1852194956959485
LongShort,FF5,0.0021981821633223586,-0.009898596381512914,0.0003849847930446085,0.9439561752541983,0.6964179955822998,0.9894532985346549,0.07042932390414111,-0.390994065207867,0.013243220855167059,-0.012096778544834775,-0.0018131973702772714,0.7665637475211944,0.9669688231233373,-0.2971719333993445,-0.041448699465811825
LongShort,FF5+MOM,-0.019191643532467828,-0.022515888937135985,-0.00941944202638008,0.5966059096334588,0.5032092310398866,0.7808324006958851,-0.530554194216829,-0.6712618501050951,-0.27879440202773165,-0.0033242454046685877,0.009772201506087227,0.9467653716131212,0.8472048016179017,-0.06683188238087094,0.19287262906778233
Q4,CAPM,0.007332291833670996,0.008318404302501095,0.008002940744120956,0.7756695556982658,0.7536642869976298,0.7476795456776,0.2855216412261677,0.3144321670045865,0.3223398611374219,0.0009861124688300543,0.0006706489104498454,0.9788509227112254,0.9851430418894584,0.02653340916669674,0.01863827106327189
Q4,FF3,0.007107473149528384,0.007650990037510855,0.007563647690358983,0.7827501623116873,0.763828764057384,0.7568025297205971,0.2762789580672571,0.3010552912711576,0.31030243823300896,0.0005435168879627961,0.00045617454081118354,0.9881090596744242,0.9898123618635419,0.014917242736524738,0.012780315287814453
Q4,FF3+MOM,0.0004798576496940492,0.006248802823619993,0.006390408656381888,0.9848070265619178,0.8059354635829703,0.7942376758970942,0.01907776886212297,0.24615229397331692,0.2613244048993803,0.0057689451739264845,0.005910551006687326,0.8729147401871233,0.8670740462197295,0.1601081203438274,0.16753443484489194
Q4,FF5,0.005593292200839905,0.006273389856913148,0.0059837961253330005,0.8335385180621291,0.8074082764260502,0.8104105654959872,0.21057231272055674,0.2442496800732968,0.2403667638789843,0.0006800976560389438,0.0003905039244596453,0.9854317680666911,0.9915137385234565,0.018276506114966076,0.010646005962765936
Q4,FF5+MOM,-0.0023005684027687973,0.0039026478581230496,0.0035889389069294554,0.9247761642774837,0.8761302340233112,0.8809349363540178,-0.09459709661884592,0.1561748564294564,0.15007012980908413,0.006203216260892767,0.005889507309698993,0.8601541223720202,0.8637311882893186,0.1763475117889668,0.1717913813620138
