FormationYear,cutoff,total_firm_years,valid_be_to_assets,kept_firm_years,excluded_missing_or_nonpositive_assets,excluded_below_cutoff,kept_share,min_be_to_assets,p10_be_to_assets,median_be_to_assets
2010,0.05,312,312,310,0,2,0.9935897435897436,-0.22258299323622502,0.2744503645241364,0.44140108890889385
2011,0.05,323,323,319,0,4,0.9876160990712074,-0.40007701193685025,0.2781669785684953,0.443641285566179
2012,0.05,337,337,331,0,6,0.9821958456973294,-0.44926240500670545,0.25141304604909165,0.44033039094693244
2013,0.05,351,351,346,0,5,0.9857549857549858,-0.9677304185433374,0.23095197844229964,0.4288513644093251
2014,0.05,364,364,359,0,5,0.9862637362637363,-0.46771148036253773,0.2635608702703623,0.44524224630080944
2015,0.05,376,376,370,0,6,0.9840425531914894,-0.2902463334757226,0.2543401559212004,0.456730237333276
2016,0.05,399,399,393,0,6,0.9849624060150376,-0.33361297539149887,0.24472128596484718,0.4544537112458282
2017,0.05,429,429,419,0,10,0.9766899766899767,-2.5498489425981874,0.26350553962155177,0.4546340939891559
2018,0.05,443,443,438,0,5,0.9887133182844243,-1.2284130688448074,0.27571156847428596,0.45783476699552594
2019,0.05,478,478,466,0,12,0.9748953974895398,-0.46744574290484137,0.25666223915739284,0.4507894180189391
2020,0.05,502,502,485,0,17,0.9661354581673307,-1.606441403704738,0.214228223055883,0.4278628955913587
2021,0.05,525,525,515,0,10,0.9809523809523809,-6.063348416289593,0.22815174614310163,0.44114417481058527
2022,0.05,540,540,532,0,8,0.9851851851851852,-2.319541465162099,0.23119665356460564,0.4397253681111346
2023,0.05,568,568,560,0,8,0.9859154929577465,-2.5609965635738834,0.24367822306021808,0.4432697417840642
2024,0.05,587,587,573,0,14,0.9761499148211243,-4.456432598667349,0.22525079140716986,0.45058131677613417
2025,0.05,612,612,598,0,14,0.9771241830065359,-7.098086124401915,0.23894277615285464,0.45604531886834954
