metric,value
first_completed_portfolio_year,2013.0
last_completed_portfolio_year,2024.0
completed_portfolio_years,12.0
matched_firm_years,2876.0
matched_unique_firms,351.0
expected_wca_correlation,0.9248284373725688
mean_expected_wca_no_lead_matched,0.0040865449836782
mean_expected_wca_analyst_hybrid,0.0051986330882905
mean_difference_analyst_minus_no_lead,0.0011120881046123
median_difference_analyst_minus_no_lead,4.111748645140023e-05
std_difference_analyst_minus_no_lead,0.0149303814294689
