PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs,MethodLabel
LongShort,FF5+MOM,Method1_ObservedQuality,0.0066339089209634,0.0005528257434136,0.2869496921460204,0.7745940714054946,0.3856340945977309,141,Observed Quality
LongShort,FF5+MOM,Method2_LatentQuality,0.0086281398036999,0.0007190116503083,0.3227094497413019,0.7474182792288651,0.3703111653774631,141,Latent Quality
LongShort,FF5+MOM,Method3_ConservativeQuality,-0.0084094115552846,-0.0007007842962737,-0.3287116795174133,0.7428867734595952,0.3976788909988966,141,Conservative Quality
LongShort,FF5+MOM,Method4_ProbabilisticQuality,0.0043035390527689,0.0003586282543974,0.1790822904042372,0.8581435797345929,0.3847809380939531,141,Probabilistic Quality
Q5,FF5+MOM,Method1_ObservedQuality,0.034022928814565,0.0028352440678804,1.7006080901492993,0.0913362571629761,0.6587907561187618,141,Observed Quality
Q5,FF5+MOM,Method2_LatentQuality,0.0286489199304081,0.0023874099942006,1.354073638721898,0.1779920614053856,0.6642031100244599,141,Latent Quality
Q5,FF5+MOM,Method3_ConservativeQuality,0.0300795905830492,0.0025066325485874,1.444567606739351,0.1509136327323643,0.676231117327488,141,Conservative Quality
Q5,FF5+MOM,Method4_ProbabilisticQuality,0.0330003291042006,0.00275002742535,1.5712661506298549,0.1184791253260046,0.6579492162640126,141,Probabilistic Quality
