PortfolioStrategy,FactorModel,Method,alpha_annualized,alpha_monthly,t_stat,p_value,r_squared,n_obs
Q5,CAPM,Method1_ObservedQuality,0.014299957053713412,0.001191663087809451,1.3463739094846425,0.17981167171369639,0.9234814818441679,189
Q5,FF3,Method1_ObservedQuality,0.017140219228332865,0.001428351602361072,1.7464699265829686,0.08238907633229342,0.9337776266921272,189
Q5,FF3+MOM,Method1_ObservedQuality,0.019561556561370163,0.0016301297134475137,1.704940510288332,0.08989325501673173,0.9338653397830023,189
Q5,FF5,Method1_ObservedQuality,0.008438543633515466,0.0007032119694596221,0.888880109710333,0.3752344249292725,0.9414552675849122,189
Q5,FF5+MOM,Method1_ObservedQuality,0.012468359470352335,0.0010390299558626947,1.1506052267898916,0.25140417785269276,0.9417091094133057,189
Q5,CAPM,Method2_LatentQuality,0.008712075649398725,0.0007260063041165605,0.7645112857755133,0.4455262614879598,0.9303631337763065,189
Q5,FF3,Method2_LatentQuality,0.011391918841902675,0.0009493265701585562,1.0726306237610872,0.2848340737378354,0.9398076714877006,189
Q5,FF3+MOM,Method2_LatentQuality,0.01764718257687839,0.001470598548073199,1.4873593775877751,0.1386315785699992,0.9403707729897918,189
Q5,FF5,Method2_LatentQuality,0.004093982377227943,0.0003411651981023286,0.3967006840503482,0.6920504198563866,0.9450035182631104,189
Q5,FF5+MOM,Method2_LatentQuality,0.011607815937930283,0.0009673179948275236,1.0412974147565297,0.2991188048876525,0.9458524202438813,189
Q5,CAPM,Method3_ConservativeQuality,0.011143396470713544,0.0009286163725594621,0.8978785917088056,0.37040484895619485,0.9271194071003163,189
Q5,FF3,Method3_ConservativeQuality,0.013976342077101828,0.001164695173091819,1.20598744910376,0.22936241539017388,0.9374079318921388,189
Q5,FF3+MOM,Method3_ConservativeQuality,0.019714861871997308,0.0016429051559997757,1.6007493483971769,0.111147959691839,0.9378860445668088,189
Q5,FF5,Method3_ConservativeQuality,0.0060726680763898075,0.000506055673032484,0.5364114977846132,0.5923256521925353,0.9435920716417154,189
Q5,FF5+MOM,Method3_ConservativeQuality,0.01307522876260712,0.0010896023968839266,1.1315904888798445,0.2592954343760725,0.9443359179658191,189
Q5,CAPM,Method4_ProbabilisticQuality,0.015416893121378245,0.0012847410934481872,1.3970796777785035,0.16404520566731162,0.9218741234784837,189
Q5,FF3,Method4_ProbabilisticQuality,0.018263431265675676,0.001521952605472973,1.7797969347554088,0.07675076471931663,0.9322960145998551,189
Q5,FF3+MOM,Method4_ProbabilisticQuality,0.020196703892248136,0.0016830586576873448,1.682751892511623,0.09411920123381612,0.9323522710891323,189
Q5,FF5,Method4_ProbabilisticQuality,0.00929189728039918,0.0007743247733665984,0.939977963594199,0.34846793110096774,0.9405069167683304,189
Q5,FF5+MOM,Method4_ProbabilisticQuality,0.012883183312457705,0.0010735986093714754,1.1427002337851018,0.25466405118919044,0.9407097435900916,189
