PortfolioStrategy,FactorModel,Comparison,alpha_difference_annualized,alpha_difference_monthly,t_stat,p_value
LongShort,CAPM,Method2_LatentQuality minus Method1_ObservedQuality,-0.031071968456099747,-0.002589330704674979,-0.4952530672389149,0.620712340033343
LongShort,CAPM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0060063733416235625,0.0005005311118019635,0.0924188148746162,0.9264147748960605
LongShort,CAPM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.007355335970332077,0.0006129446641943398,0.11390802072034521,0.9093718292708886
LongShort,FF3,Method2_LatentQuality minus Method1_ObservedQuality,-0.03039273218918677,-0.0025327276824322308,-0.6085560599942499,0.5431921474455401
LongShort,FF3,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0064444092872551935,0.0005370341072712661,0.1143020070143116,0.9090603904516046
LongShort,FF3,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.0072350601415581695,0.0006029216784631808,0.1300810670348582,0.8965729788912817
LongShort,FF3+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.01910177381267919,-0.0015918144843899325,-0.3304150005159407,0.7412744371359152
LongShort,FF3+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0027845321883541094,0.00023204434902950911,0.04343607006162984,0.9653774833451614
LongShort,FF3+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.00428600103928534,0.00035716675327377833,0.0676725477062293,0.9460830553969011
LongShort,FF5,Method2_LatentQuality minus Method1_ObservedQuality,-0.0222081519437456,-0.0018506793286454668,-0.5668850272401692,0.5711397826676323
LongShort,FF5,Method3_ConservativeQuality minus Method1_ObservedQuality,0.003990251481295638,0.0003325209567746365,0.08986462284309275,0.9284439503702224
LongShort,FF5,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.006689120173572082,0.0005574266811310068,0.15257898965091876,0.8788143726945281
LongShort,FF5+MOM,Method2_LatentQuality minus Method1_ObservedQuality,-0.01443338245085415,-0.0012027818709045126,-0.31554845231349726,0.7525261049223522
LongShort,FF5+MOM,Method3_ConservativeQuality minus Method1_ObservedQuality,0.0004512539027161297,3.760449189301081e-05,0.008970303897788044,0.9928477432086873
LongShort,FF5+MOM,Method4_ProbabilisticQuality minus Method1_ObservedQuality,0.003680010190982602,0.00030666751591521685,0.07318092412889111,0.9417023420427793
