PortfolioStrategy,FactorModel,Method,MethodLabel,alpha_annualized,alpha_monthly
LongShort,CAPM,Method1_ObservedQuality,Observed Quality,0.0940572399325544,0.007838103327712866
LongShort,CAPM,Method2_LatentQuality,Latent Quality,0.06298527147645458,0.005248772623037882
LongShort,CAPM,Method3_ConservativeQuality,Conservative Quality,0.10006361327417794,0.008338634439514828
LongShort,CAPM,Method4_ProbabilisticQuality,Probabilistic Quality,0.10141257590288644,0.008451047991907204
LongShort,FF3,Method1_ObservedQuality,Observed Quality,0.1113037897776282,0.00927531581480235
LongShort,FF3,Method2_LatentQuality,Latent Quality,0.08091105758844402,0.006742588132370336
LongShort,FF3,Method3_ConservativeQuality,Conservative Quality,0.11774819906488536,0.00981234992207378
LongShort,FF3,Method4_ProbabilisticQuality,Probabilistic Quality,0.11853884991918816,0.00987823749326568
LongShort,FF3+MOM,Method1_ObservedQuality,Observed Quality,0.0634847409593812,0.005290395079948433
LongShort,FF3+MOM,Method2_LatentQuality,Latent Quality,0.04438296714670244,0.0036985805955585364
LongShort,FF3+MOM,Method3_ConservativeQuality,Conservative Quality,0.06626927314773674,0.005522439428978062
LongShort,FF3+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.06777074199866728,0.005647561833222274
LongShort,FF5,Method1_ObservedQuality,Observed Quality,0.07235207285413703,0.006029339404511419
LongShort,FF5,Method2_LatentQuality,Latent Quality,0.05014392091041648,0.00417866007586804
LongShort,FF5,Method3_ConservativeQuality,Conservative Quality,0.07634232433545668,0.006361860361288056
LongShort,FF5,Method4_ProbabilisticQuality,Probabilistic Quality,0.07904119302773308,0.006586766085644423
LongShort,FF5+MOM,Method1_ObservedQuality,Observed Quality,0.04221656050145078,0.0035180467084542314
LongShort,FF5+MOM,Method2_LatentQuality,Latent Quality,0.027783178050598357,0.0023152648375498633
LongShort,FF5+MOM,Method3_ConservativeQuality,Conservative Quality,0.042667814404168544,0.0035556512003473784
LongShort,FF5+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.04589657069243497,0.003824714224369581
Q5,CAPM,Method1_ObservedQuality,Observed Quality,0.014299957053713423,0.001191663087809452
Q5,CAPM,Method2_LatentQuality,Latent Quality,0.007602591314791478,0.0006335492762326232
Q5,CAPM,Method3_ConservativeQuality,Conservative Quality,0.011085084844817107,0.0009237570704014257
Q5,CAPM,Method4_ProbabilisticQuality,Probabilistic Quality,0.01543667472889719,0.0012863895607414324
Q5,FF3,Method1_ObservedQuality,Observed Quality,0.0171402192283329,0.001428351602361075
Q5,FF3,Method2_LatentQuality,Latent Quality,0.010468854346746279,0.0008724045288955232
Q5,FF3,Method3_ConservativeQuality,Conservative Quality,0.013987452679488758,0.0011656210566240632
Q5,FF3,Method4_ProbabilisticQuality,Probabilistic Quality,0.018281910757695936,0.001523492563141328
Q5,FF3+MOM,Method1_ObservedQuality,Observed Quality,0.019561556561370045,0.0016301297134475037
Q5,FF3+MOM,Method2_LatentQuality,Latent Quality,0.016615795834124134,0.0013846496528436777
Q5,FF3+MOM,Method3_ConservativeQuality,Conservative Quality,0.016760850004551277,0.001396737500379273
Q5,FF3+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.020178964365348016,0.0016815803637790015
Q5,FF5,Method1_ObservedQuality,Observed Quality,0.008438543633515441,0.00070321196945962
Q5,FF5,Method2_LatentQuality,Latent Quality,0.00452361783583532,0.00037696815298627663
Q5,FF5,Method3_ConservativeQuality,Conservative Quality,0.005291881760033378,0.00044099014666944817
Q5,FF5,Method4_ProbabilisticQuality,Probabilistic Quality,0.009315935426166143,0.0007763279521805119
Q5,FF5+MOM,Method1_ObservedQuality,Observed Quality,0.012468359470352335,0.0010390299558626947
Q5,FF5+MOM,Method2_LatentQuality,Latent Quality,0.011321782288909898,0.0009434818574091581
Q5,FF5+MOM,Method3_ConservativeQuality,Conservative Quality,0.009718918575092977,0.000809909881257748
Q5,FF5+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.012869570757422552,0.0010724642297852127
