Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,1735.1,1165.94,0.0,0.0,0.0,2725.69,0.0,0.20881318124951842,344.19,0.0
2005,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,1901.96,894.62,340.07,0.0,113.36,2933.42,0.0,0.18882737555481313,304.65,0.0
2006,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,2342.24,1017.3600000000001,372.86,0.0,205.65,6791.88,0.0,0.1098915175179773,369.66,0.0
2007,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,2205.38,837.1899999999999,317.90000000000003,0.0,344.24,5644.48,0.0,0.1250868104767844,271.65,0.0
2008,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,2772.89,983.5799999999999,321.84,0.0,322.4,865.38,0.0,1.3231990570616379,275.54,0.0
2009,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,2499.26,647.58,322.23,0.0,281.39,1528.88,0.0,0.816323060017791,349.86,0.0
2010,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,2672.38,754.48,416.2,0.0,259.14,2388.68,0.0,0.5201868814575414,374.52,0.0
2011,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,2518.89,745.13,523.27,0.0,237.55,2759.99,0.0,0.3670085761180294,365.84,0.0
2012,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,2967.89,335.52,568.11,0.0,237.83,2872.18,0.0,0.6359037386236238,335.52,0.0
2013,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,3076.98,1052.1100000000001,584.24,0.0,201.02,4487.24,0.0,0.27625221739866823,361.48,0.0
2014,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,3459.95,1196.83,697.41,0.0,235.2,5592.79,0.0,0.23789736428508848,405.46,0.0
2015,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,3827.46,1607.74,797.42,0.0,335.42,6322.22,0.0,0.1719142959276963,697.44,0.0
2016,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,3979.8,2056.23,769.09,0.0,718.72,9755.49,0.0,0.04466818171101605,971.44,0.0
2017,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,2339.21,1738.2800000000002,635.64,0.0,619.1,4083.8,0.0,-0.16009843772956564,1051.4,0.0
2018,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,2692.9,1632.1799999999998,624.38,0.0,1410.76,3457.21,0.0,-0.2818515508169882,919.88,0.0
2019,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,1983.09,1346.1100000000001,605.31,0.0,304.41,21.07,0.0,-12.944470811580455,822.62,0.0
2020,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,533.59,751.92,289.85,0.0,581.59,-8136.14,0.0,0.13394189382188604,418.78,0.0
2021,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,1212.71,847.43,434.89,0.0,325.74,319.68,0.0,-1.236705455455455,283.62,0.0
2022,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,1910.92,1035.68,568.76,0.0,179.66,365.41,0.0,0.3470622040995047,283.42,0.0
2023,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,1030.87,989.72,480.09,0.0,326.04,342.57,0.0,-2.2330618559710427,328.15,0.0
2024,PRSO.OL,OBX,Prosafe SE,Oil & Gas Related Equipment and Services,Energy,1501.98,1014.22,560.82,0.0,334.13,-150.03,0.0,2.714057188562288,354.55,0.0
