Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1998,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,159.18,112.76,0.0,0.0,0.0,209.1,19.62,0.20295557887373208
1999,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,353.15,291.91,0.0,0.0,0.0,119.52,2.11,0.5034942037326314
2000,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,441.13,297.44,0.0,0.0,0.0,120.18,2.65,1.1698282178620856
2004,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,226.63,154.28,5.08,0.0,0.0,-43.64,2.13,-1.6205733558178752
2005,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,264.76,178.26,3.86,0.0,0.0,-34.56,0.0,-2.3912037037037037
2006,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,314.36,237.3,3.56,0.0,0.0,98.34,0.86,0.7409274193548386
2007,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,346.65,262.44,2.71,0.0,0.0,92.52,1.13,0.8702616123865455
2008,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,343.56,262.75,2.92,0.0,0.0,174.75,1.36,0.442280392936233
2009,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,288.8,221.1,4.12,0.0,0.0,128.99,0.86,0.4896418944936466
2010,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,380.67,276.45,12.68,7.71,0.0,129.68,0.72,0.7611196319018406
2011,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,394.76,299.3,94.79,7.13,0.0,121.11,0.6,0.06408676361843701
2012,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,193.31,121.66,57.99,0.0,0.0,84.13,1.15,0.16017823639774864
2013,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,180.73,114.33,59.18,0.0,0.0,74.63,0.32,0.09633088725817202
2014,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,182.11,114.08,69.31,0.0,0.0,135.47,0.16,-0.009437440094374305
2015,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,265.08,155.32,84.08,0.0,0.0,168.94,0.18,0.151844843897824
2016,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,307.57,178.86,95.91,0.0,0.0,212.95,0.26,0.15383893813610988
2017,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,317.68,184.21,105.4,0.0,0.0,202.84,0.22,0.1382350044321875
2018,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,339.7,186.41,119.1,0.0,0.0,257.32,0.27,0.13273030785356574
2019,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,356.89,223.47,159.08,13.02,2.69,239.65,0.31,-0.0638856476079347
2020,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,330.44,205.16,140.57000000000002,12.91,3.5700000000000003,219.59,0.35,-0.027052832590706666
2021,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,390.66,254.42,149.16,14.48,3.54,304.89,0.39,-0.006485849056603674
2022,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,569.02,382.66,233.46999999999997,13.64,6.069999999999999,292.48,0.45,-0.1349810534940089
2023,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,999.4,654.12,324.83,22.44,16.9,469.02,0.46,0.05535912072931752
2024,ENVIP.OL,OBX,Envipco Holding NV,Professional & Commercial Services,Industrials,1324.8,832.84,449.39,28.81,21.880000000000003,767.12,0.38,0.06449511400651457
