Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2005,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,2112.54,1549.19,0.0,0.0,83.6,1334.49,0.0,0.3595006332006983,0.0,0.0
2006,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,3199.68,2273.79,0.0,0.0,150.63,4694.08,0.0,0.16515696366487148,0.0,0.0
2007,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,6196.92,4563.97,0.0,0.0,409.34,5144.91,0.0,0.23782923316442853,0.0,0.0
2008,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,6232.32,4931.28,9.3,0.0,463.75,5181.37,0.0,0.15980136527597913,0.0,0.0
2009,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,6999.41,5543.08,4.81,0.0,463.94,5537.45,0.0,0.17834562840296525,0.0,0.0
2010,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,6449.1,4980.54,18.22,0.0,322.7,5327.98,0.0,0.211644938607127,0.0,0.0
2011,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,9046.75,7074.21,10.4,0.0,440.63,5455.08,0.0,0.2789161662157108,0.0,0.0
2012,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,7054.23,5550.52,830.65,0.0,298.4,5584.36,0.0,0.06709094685872673,0.0,0.0
2013,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,7355.57,5870.72,853.05,0.0,287.37,6429.2,0.0,0.053572761774404204,0.0,0.0
2014,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,7700.32,6182.12,941.95,0.0,295.92,7034.88,0.0,0.03984858306040753,0.0,0.0
2015,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,8454.52,6456.08,1083.58,0.0,322.98,7879.05,0.0,0.075120731560277,0.0,0.0
2016,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,8710.49,6921.76,1146.4,0.0,259.98,7353.67,0.0,0.05199444631048163,0.0,0.0
2017,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,9022.11,7206.41,1171.13,0.0,221.55,8233.28,0.0,0.051379280189669314,0.0,0.0
2018,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,9118.72,7353.68,1197.21,0.0,190.23,8490.05,0.0,0.04447559201653689,0.0,0.0
2019,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,9343.98,7405.67,1224.59,0.0,173.72,8097.2,0.0,0.06668971990317635,0.0,0.0
2020,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,4749.68,5215.64,926.25,0.0,185.23,7483.52,0.0,-0.210788505943727,0.0,0.0
2021,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,4846.48,4626.43,761.3399999999999,0.0,221.99,6933.11,0.0,-0.11009200777140428,0.0,0.0
2022,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,7786.2,6640.86,873.27,0.0,250.69,7411.65,0.0,0.0028846478179622844,0.0,0.0
2023,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,9528.89,7203.67,1080.67,0.0,417.76,8788.69,0.0,0.09407431596745354,0.0,0.0
2024,TALLINK.HE,HEX,Tallink Grupp AS,Hotels & Entertainment Services,Consumer Discretionary,9130.94,7346.68,1136.6,0.0,336.34,9205.36,0.0,0.03381942694256393,0.0,0.0
