Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2005,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,220.76,45.39,152.7,0.0,0.1,42.75,0.0,0.5279532163742694,0.0,2.01
2006,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,316.29,70.02,213.77,0.0,0.11,47.99,0.0,0.6749322775578251,0.0,4.33
2007,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,447.67,100.0,299.94,0.0,0.29,140.86,0.0,0.33678830044015345,0.0,5.109999999999999
2008,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,565.37,97.17,398.68,0.0,0.21,120.96,0.0,0.5729993386243386,0.0,6.72
2009,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,589.09,90.5,441.5,0.0,0.37,126.75,0.0,0.44749506903353087,0.0,6.390000000000001
2011,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,897.25,150.81,658.42,0.0,0.47,135.61,2.01,0.6361720680133708,0.0,7.8500000000000005
2012,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,1030.35,171.76,780.35,0.0,0.91,140.01,2.34,0.5432384966631535,0.0,10.09
2013,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,1112.77,152.0,865.6700000000001,0.0,0.8700000000000001,157.1,2.73,0.5895639116561341,0.0,10.700000000000001
2014,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,1132.6,136.65,916.7900000000001,0.0,1.06,150.36,3.17,0.5086953689832596,0.0,13.34
2015,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,1232.49,148.2,984.9399999999999,0.0,0.8200000000000001,171.22,3.4,0.5642538082693851,0.0,13.54
2016,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,1330.81,183.0,1041.52,0.0,2.1100000000000003,172.53,3.63,0.5913941871026338,0.0,14.59
2017,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,1607.35,247.35,1215.8600000000001,0.0,0.99,217.39,3.02,0.6494714395898546,0.0,21.14
2018,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,1846.71,258.51,1396.6399999999999,0.0,2.73,276.99,0.0,0.6817213617820145,0.0,24.8
2019,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,2132.05,286.64,1613.3700000000001,0.0,7.4,316.96,0.8,0.7069486404833842,0.0,60.68
2020,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,2401.84,308.82,1778.47,0.0,6.08,422.05,0.87,0.7293814432989689,0.0,66.97
2021,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,2695.12,326.65,2028.4,0.0,6.140000000000001,445.59,3.67,0.7432889640742548,0.0,69.71000000000001
2022,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,3085.47,325.17,2358.61,0.0,7.43,451.76,5.2,0.8627888655462176,0.0,79.05
2023,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,3525.76,347.46,2771.32,0.0,9.52,453.3,5.07,0.8671160852586339,0.0,96.92
2024,BOUV.OL,OBX,Bouvet ASA,Software & IT Services,Information Technology,3921.4,324.96,3106.0899999999997,0.0,25.25,464.84,0.0,1.0005593322433535,0.0,120.43
