Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2008,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,1831.54,714.57,396.27,0.0,243.12,557.89,0.0,0.8560468909641683
2009,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,4057.92,1258.06,1227.58,0.0,287.25,1617.54,0.0,0.7944347589549564
2010,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,7166.43,2086.72,2208.2,0.0,197.81,4509.9,0.0,0.592851282733542
2011,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,6965.79,1881.12,2931.54,0.0,47.08,5631.1,0.0,0.37400330308465485
2012,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,6681.04,2232.7,2966.8999999999996,0.0,47.21,5943.76,0.0,0.2413001197894936
2013,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,9436.57,3153.55,3475.08,0.0,54.47,7224.29,0.0,0.38114056883098546
2014,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,13389.99,3945.69,4878.57,0.0,84.1,8537.07,0.0,0.5249611400632769
2015,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,20074.29,5450.05,7650.950000000001,0.0,143.92000000000002,7897.13,0.0,0.8647913862377852
2016,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,25305.85,6311.18,9756.25,0.0,56.15,8307.11,0.0,1.1053507176382638
2017,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,28580.22,7295.29,11519.4,0.0,56.46,8616.95,0.0,1.126740900202508
2018,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,29384.62,7555.53,13543.009999999998,0.0,81.17,8517.03,0.0,0.9633534224958702
2019,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,28839.68,7868.0,15924.6,0.0,245.29,6916.51,0.0,0.6942504239855071
2020,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,27351.85,6667.81,16822.05,0.0,364.03,10403.47,0.0,0.33623012321850293
2021,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,31972.38,7639.81,16352.47,0.0,288.37,9426.76,0.0,0.8159463060478892
2022,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,35915.61,8513.72,18250.28,0.0,435.66,10107.18,0.0,0.8623523079632499
2023,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,43089.1,9207.13,23103.58,0.0,1096.52,8035.51,0.0,1.2048855642018987
2024,PNDORA.CO,COX,Pandora A/S,Textiles & Apparel,Other,49364.28,9958.56,26980.51,0.0,1430.44,8692.1,0.0,1.264915267886932
