Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1995,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,86622.81,0.0,13587.25,0.0,0.0,40972.2,1539.09,1.7180273757865265
1996,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,76827.07,0.0,13636.6,0.0,0.0,42664.04,1582.24,1.4281532820386258
1997,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,79888.1,0.0,13879.34,0.0,0.0,44656.36,2203.25,1.4086493677604233
1998,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,88852.47,42490.72,15291.0,0.0,0.0,47097.14,2493.34,0.62654666782818
1999,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,88375.69,40104.22,14577.08,0.0,0.0,48076.07,1630.38,0.6778675604473866
2000,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,105577.01,48970.8,16186.53,0.0,0.0,70807.32,1234.26,0.5610604320449384
2001,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,108651.15,52663.89,17971.26,0.0,0.0,71601.29,399.86,0.5279915668013636
2002,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,95962.73,48164.54,17327.58,0.0,0.0,59318.47,221.07,0.5117710012539565
2003,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,97419.23,49640.81,18388.51,0.0,0.0,66632.56,506.16,0.43774903662149056
2004,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,103719.97,55288.09,16210.06,0.0,0.0,66201.93,1121.17,0.47861462113301395
2005,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,90847.89,52058.51,14577.05,704.82,0.0,57647.79,747.33,0.4266991830824219
2006,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,92186.53,51255.05,13900.7,629.84,0.0,64149.78,851.26,0.4255411913409385
2007,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,94916.85,56488.69,13721.83,648.08,0.0,60207.07,570.07,0.4171701728643369
2008,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,90827.96,56865.48,13745.92,0.0,0.0,54307.33,548.51,0.3685397944867858
2009,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,78065.74,47688.08,11778.24,643.2,0.0,42500.03,482.7,0.44768259252029835
2010,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,82406.01,51632.11,11463.49,456.97,0.0,48307.19,403.41,0.4058126978522127
2011,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,85440.17,54533.38,10861.48,0.0,0.0,45435.31,673.87,0.4347357727897135
2012,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,80828.54,52032.21,10560.4,478.32,2600.86,42350.79,675.26,0.37450312078380404
2013,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,82482.23,52223.91,11345.89,491.94,0.0,43466.51,500.29,0.44134142125421894
2014,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,85345.92,52178.59,12091.99,534.82,0.0,45827.18,1509.49,0.45652049457640353
2015,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,89804.4,53739.52,12334.69,590.35,80.5,51724.94,1200.0,0.458007888152542
2016,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,91042.61,54177.87,13133.46,743.05,65.02,52719.11,562.97,0.45811481083321065
2017,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,93722.12,55468.19,13211.6,793.07,1371.54,59149.55,462.72,0.4103829631047432
2018,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,100680.85,59116.15,13768.48,998.55,1267.39,66520.13,178.34,0.4127138148746141
2019,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,98990.48,58714.99,14088.05,984.49,1388.12,73105.77,-68.88,0.3530244784519166
2020,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,91715.69,54077.19,14690.81,1072.32,1394.02,92284.71,-167.62,0.24562206643740048
2021,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,103283.32,60319.74,14561.69,833.26,1168.6,106952.66,-160.18,0.26281391723462183
2022,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,117895.18,70444.39,14171.65,898.35,1292.0,131388.85,-314.53,0.25089193672719406
2023,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,107183.99,69961.63,15662.37,1117.93,2121.7799999999997,122867.66,-1084.95,0.16879358325988966
2024,STEAV.HE,HEX,Stora Enso Oyj,Containers & Packaging,Materials,105145.82,69113.42,15163.59,894.71,2765.4599999999996,119305.14,-1765.04,0.16163045632937192
