Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2012,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,1.13,0.0,17.39,0.0,0.32,-4.83,0.0,3.4327122153209113
2013,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,0.04,0.0,37.06,0.0,1.26,63.15,0.0,-0.6061757719714964
2014,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,6.68,0.0,116.39,27.7,0.01,161.61,0.0,-0.5075180991275292
2015,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,4.57,0.0,149.3,24.78,0.12,172.72,0.0,-0.695171375636869
2016,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,92.07,0.0,341.43,62.06,0.05,177.17,0.0,-1.0574589377434105
2017,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,98.16,208.02,193.42,36.02,0.02,165.13,0.0,-1.6186035244958517
2018,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,108.39,155.22,236.79,45.14,0.03,119.29,0.0,-1.999413194735518
2019,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,84.44,127.74,193.24,24.89,0.7000000000000001,134.8,0.0,-1.5752967359050445
2020,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,58.13,98.78,99.07,6.98,0.81,97.19,0.0,-1.3741125630208868
2021,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,50.76,77.31,65.65,5.5,0.35,134.25,0.0,-0.6484171322160149
2022,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,48.29,67.13,67.69,12.09,0.13,96.0,0.0,-0.7767708333333333
2023,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,34.38,49.96,78.82,13.23,0.31,94.35,0.0,-0.8635930047694753
2024,NEXT.OL,OBX,Next Biometrics Group ASA,Electronic Equipment & Parts,Information Technology,71.57,64.84,102.09,22.26,0.14,118.86,0.0,-0.6161871108867576
