Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2003,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,10757.31,9913.76,0.0,0.0,0.0,4918.06,0.0,0.17152088425110698
2004,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,15812.61,0.0,0.0,0.0,0.0,5396.62,0.0,2.9300951336206738
2005,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,11362.09,9080.22,1436.08,140.16,0.0,6068.1,57.49,0.16095592424566466
2006,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,20890.86,16431.31,2702.75,251.77,0.0,7145.67,65.8,0.27852435079117005
2007,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,24178.42,19040.25,0.0,0.0,0.0,7061.26,48.36,0.7227066988109067
2008,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,27994.2,22750.64,3668.93,359.07,0.0,8304.34,88.34,0.230403160849693
2009,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,22524.05,18839.42,3123.4700000000003,300.22,0.0,7223.09,87.91,0.1178197237040078
2010,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,20607.71,16423.74,2844.2700000000004,256.1,0.0,8297.17,28.82,0.19166489510556667
2011,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,24457.23,19331.55,3452.7,459.74,0.0,9076.7,30.95,0.23416797966544609
2012,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,24867.39,20126.79,3993.97,541.1,0.0,8914.22,30.09,0.1439719777154413
2013,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,24839.15,20289.08,3904.31,459.15,0.0,10283.38,51.7,0.10690870317404412
2014,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,28059.78,22757.52,4501.7,579.11,0.0,10926.21,45.19,0.12575149935286278
2015,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,33357.32,26315.19,5364.120000000001,762.09,184.26,12857.31,23.04,0.1751380979554127
2016,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,32635.83,24836.56,5851.540000000001,874.02,200.62,12666.75,19.98,0.20660406582310809
2017,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,30321.37,22371.08,5880.84,916.23,173.54,14007.65,22.64,0.20043349068337127
2018,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,31718.4,23900.9,5927.9400000000005,909.26,187.23,14124.38,29.72,0.18451120170127383
2019,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,36262.71,27667.13,6370.63,1039.62,253.01,14017.93,27.55,0.21441488649729293
2020,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,34994.15,27188.72,6217.33,1157.04,275.58,13605.42,28.29,0.18113631579372014
2021,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,33685.97,26238.48,6555.3099999999995,1055.8,216.44,15460.73,27.03,0.11180054442992415
2022,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,41269.37,32607.91,7263.48,1007.36,188.75,16015.77,7.34,0.13833706440260365
2023,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,20379.33,14901.5,3035.51,395.84,132.33,19599.55,16.78,0.13793762645714067
2024,HIAB.HE,HEX,Hiab Oyj,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,19140.98,13579.83,3118.7,447.35,120.84,12065.83,22.36,0.22906324271871964
