Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2019,TOIVO.HE,HEX,Toivo Group Oyj,Homebuilding & Construction Supplies,Other,30.26,6.56,10.810000000000002,0.0,4.09,174.78,2.19,0.04972594225009889,0.0,0.3
2020,TOIVO.HE,HEX,Toivo Group Oyj,Homebuilding & Construction Supplies,Other,45.57,9.2,20.35,0.0,7.7,284.93,0.96,0.029102102207142624,0.0,0.75
2021,TOIVO.HE,HEX,Toivo Group Oyj,Homebuilding & Construction Supplies,Other,137.93,86.12,25.78,0.0,7.14,542.37,2.45,0.03467200176204985,0.0,0.69
2022,TOIVO.HE,HEX,Toivo Group Oyj,Homebuilding & Construction Supplies,Other,205.14,138.2,33.949999999999996,0.0,12.08,731.95,2.02,0.028488902816191403,0.0,0.51
2023,TOIVO.HE,HEX,Toivo Group Oyj,Homebuilding & Construction Supplies,Other,498.41,371.53,49.3,0.0,44.84,767.03,2.84,0.04252666034525316,0.0,0.89
2024,TOIVO.HE,HEX,Toivo Group Oyj,Homebuilding & Construction Supplies,Other,462.58,331.86,57.550000000000004,0.0,50.43,813.87,3.15,0.027832855988837432,0.0,1.31
