Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1995,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,2096.02,693.43,1162.0600000000002,286.47,57.02,1066.26,11.86,0.43592549994434765
1999,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,4460.81,887.69,2820.13,921.45,0.0,3157.11,0.0,0.5303711305592774
2000,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,6120.47,1215.23,3764.68,1540.81,0.0,4163.21,9.53,0.6425921576709788
2001,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,8265.1,6293.8,4777.9,1663.28,24.08,5083.03,0.0,-0.229666163685833
2002,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,9589.66,1837.78,5317.48,1590.16,8.29,5704.42,0.39,0.7040146823470019
2003,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,10710.78,1895.42,6471.719999999999,2082.36,38.14,7790.22,8.34,0.5626500276974212
2004,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,10949.37,1940.82,6135.89,1997.97,25.87,8689.47,-1.55,0.5576432563835764
2005,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,9752.31,1599.54,5789.26,1915.99,37.42,8022.53,0.0,0.5287708490962326
2006,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,9947.88,1775.54,6223.970000000001,2112.02,63.76,7465.76,0.0,0.5353279505368507
2007,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,12015.37,2564.2,6558.93,2358.76,0.0,7644.44,0.0,0.6869044691305056
2008,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,12786.18,2350.17,7835.02,3303.72,127.07,9799.59,0.0,0.5895797681331565
2009,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,16117.96,3112.91,9654.13,3747.22,160.63,9813.79,0.0,0.7069144540488433
2010,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,15873.44,3180.06,8247.96,2975.8,117.18,11624.37,0.0,0.6283385680256222
2011,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,16746.98,3312.36,9884.77,3473.48,0.0,13295.67,0.0,0.5282419013107273
2012,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,14866.62,3736.24,9396.84,2931.74,0.0,12992.01,0.0,0.35908839355881045
2013,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,15980.37,4229.17,10076.49,3007.97,85.88,15071.28,0.0,0.3050039545413528
2014,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,15101.02,4664.41,10325.61,3263.96,104.28,16420.99,0.0,0.1991767853217132
2015,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,17503.98,6470.74,19208.33,9773.88,129.53,11300.92,0.0,0.13001242376726826
2016,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,19507.51,5093.36,11554.28,3702.11,74.87,11852.98,0.0,0.5472978103396782
2017,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,21621.15,4868.96,11525.68,3393.6,121.69,16113.45,0.0,0.5274115723200185
2018,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,23343.03,4452.92,12003.29,4222.28,29.63,18908.89,0.0,0.5859397352250714
2019,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,22467.2,5064.22,12566.91,4109.4,83.08,22113.35,0.0,0.4007710274562651
2020,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,25428.05,5994.41,16485.36,6539.75,260.44,23897.43,0.0,0.3861331532302845
2021,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,22275.7,4985.69,14542.96,5224.86,209.11,24612.44,0.0,0.31540147990203343
2022,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,24763.49,5362.3,15530.45,5094.93,139.79,29303.33,0.0,0.3011903425310366
2023,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,30494.39,6868.59,18732.800000000003,5294.25,82.69999999999999,33079.9,0.0,0.3054589040474728
2024,HLUNa.CO,COX,H Lundbeck A/S,Pharmaceuticals,Health Care,34286.98,6591.25,22600.37,7013.53,176.07999999999998,39467.96,0.0,0.3023416969106081
