Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2009,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,3825.79,2883.1,745.74,0.0,168.54,172.72,0.0,0.16448587308939355,0.0,0.0
2010,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,3347.14,2518.57,636.16,0.0,89.71,116.09,0.0,0.8846584546472542,0.0,0.0
2011,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,3354.45,2522.63,616.0799999999999,0.0,92.29,174.34,0.0,0.7080991166685774,0.0,0.0
2012,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,3284.17,2511.93,576.61,0.0,40.28,277.76,0.0,0.5592957949308764,0.0,0.0
2013,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,3297.09,2502.99,604.88,0.0,33.12,402.24,0.0,0.38807677008751085,0.0,31.61
2014,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,3800.47,2878.72,668.0500000000001,0.0,29.54,647.43,0.0,0.346230480515268,0.0,32.64
2015,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,4225.0,3211.57,749.83,0.0,21.63,849.05,0.0,0.2849891054708201,0.0,36.91
2016,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,4923.65,3723.05,901.91,0.0,21.68,1094.3,0.0,0.25313899296353787,0.0,43.92
2017,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,5706.64,4289.78,1094.9,0.0,21.54,1364.89,0.0,0.22010564953952366,0.0,86.82
2018,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,5777.09,4344.99,1219.21,0.0,17.28,1400.28,0.0,0.13969348987345412,0.0,87.72
2019,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,6278.64,4786.38,1261.71,0.0,29.01,1745.7,0.0,0.11544938992954126,0.0,96.96
2020,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,8388.02,6527.7,1537.4399999999998,0.0,108.5,1825.52,0.0,0.11743503221000087,0.0,283.09
2021,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,8197.42,6379.8,1533.96,0.0,99.87,1714.13,0.0,0.10722057253533854,0.0,291.89
2022,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,9275.97,7332.68,1574.1299999999999,0.0,100.99,1866.4,0.0,0.14368302614659192,0.0,289.78
2023,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,11533.25,9327.08,1808.1,0.0,147.38,2015.06,0.0,0.12440820620725943,0.0,317.04
2024,HAGA.IC,ISX,Hagar hf,Diversified Retail,Consumer Discretionary,13442.09,10650.1,2221.55,0.0,219.47,2221.29,0.0,0.1580027821671189,0.0,390.07
