Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,69.97,12.11,71.0,0.0,0.0,51.25,0.0,-0.25639024390243903,0.0,6.43
2005,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,70.04,14.58,76.52,0.0,0.0,127.76,0.0,-0.16484032561051962,0.0,4.99
2006,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,72.97,15.21,106.25999999999999,0.0,0.0,105.71,0.0,-0.45880238388042754,0.0,3.74
2007,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,45.43,3.44,87.25000000000001,0.0,0.0,204.04,0.0,-0.22181925112723003,0.0,3.42
2008,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,51.7,4.86,141.73,0.0,0.0,159.27,0.0,-0.595780749670371,0.0,3.39
2009,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,24.08,1.7,61.11,0.0,0.0,61.15,0.0,-0.6333605887162715,0.0,2.98
2010,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,25.91,1.69,57.230000000000004,0.0,0.0,34.54,0.0,-0.9557035321366534,0.0,2.94
2011,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,23.03,1.88,39.62,0.0,0.0,44.16,0.0,-0.4182518115942028,0.0,2.08
2012,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,21.48,3.42,43.83,0.0,0.0,20.73,0.0,-1.2431259044862515,0.0,2.17
2013,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,22.11,4.789999999999999,43.660000000000004,0.0,0.0,41.68,0.0,-0.6319577735124761,0.0,2.31
2014,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,33.03,22.97,45.63,0.0,0.0,98.43,0.0,-0.3613735649700294,0.0,2.46
2015,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,53.28,30.47,55.00000000000001,0.0,0.0,86.26,0.0,-0.37317412473916073,0.0,2.93
2016,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,71.9,53.28,64.23,0.0,0.0,67.51,0.0,-0.675603614279366,0.0,1.91
2017,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,66.69,21.93,67.09,0.0,0.0,44.1,0.0,-0.5063492063492064,0.0,1.98
2018,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,66.77,19.37,66.96,0.0,0.86,51.6,0.0,-0.39573643410852716,0.0,4.71
2019,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,45.19,1.25,48.39,0.0,1.09,45.14,0.0,-0.12272928666371295,0.0,2.55
2020,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,93.45,2.03,53.900000000000006,0.0,0.71,194.37,0.0,0.18938107732674792,0.0,2.64
2021,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,127.97,6.88,68.73,0.0,0.94,244.84,0.0,0.21001470347982357,0.0,3.19
2022,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,136.97,5.38,96.00999999999999,0.0,0.6799999999999999,284.74,0.0,0.12256795673245773,0.0,5.02
2023,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,118.94,11.72,97.97,0.0,0.49,309.3,0.0,0.028322017458777885,0.0,6.38
2024,AZT.OL,OBX,Arcticzymes Technologies ASA,Pharmaceuticals,Health Care,104.35,8.95,103.56,0.0,0.35,324.25,0.0,-0.026245181187355467,0.0,6.58
