Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2014,GREENM.CO,COX,GreenMobility A/S,Passenger Transportation Services,Industrials,0.0,0.0,0.33,0.0,0.0,0.11,0.0,-3.0,0.0,0.0
2015,GREENM.CO,COX,GreenMobility A/S,Passenger Transportation Services,Industrials,0.13,0.0,0.03,0.0,0.0,0.2,0.0,0.5,0.0,0.0
2016,GREENM.CO,COX,GreenMobility A/S,Passenger Transportation Services,Industrials,0.51,0.0,11.06,0.0,0.0,0.58,0.0,-18.189655172413797,0.0,1.41
2017,GREENM.CO,COX,GreenMobility A/S,Passenger Transportation Services,Industrials,17.83,0.0,57.400000000000006,0.0,0.0,40.35,0.0,-0.9806691449814128,0.0,9.34
2018,GREENM.CO,COX,GreenMobility A/S,Passenger Transportation Services,Industrials,32.76,0.0,70.47,0.0,0.97,-3.46,0.0,11.179190751445086,0.0,9.08
2019,GREENM.CO,COX,GreenMobility A/S,Passenger Transportation Services,Industrials,44.08,0.0,84.86,0.0,0.97,39.62,0.0,-1.0537607269056033,0.0,10.73
2020,GREENM.CO,COX,GreenMobility A/S,Passenger Transportation Services,Industrials,49.86,0.0,138.88,0.0,1.76,71.72,0.5,-1.2569925228468568,0.0,20.04
2021,GREENM.CO,COX,GreenMobility A/S,Passenger Transportation Services,Industrials,85.3,0.0,157.24,0.0,3.38,195.46,-1.45,-0.388227410958198,0.0,28.28
2022,GREENM.CO,COX,GreenMobility A/S,Passenger Transportation Services,Industrials,102.61,0.0,153.76999999999998,0.0,3.3400000000000003,92.85,-0.2,-0.588235294117647,0.0,29.42
2023,GREENM.CO,COX,GreenMobility A/S,Passenger Transportation Services,Industrials,115.26,0.0,148.68,0.0,7.94,24.11,-8.76,-2.6944625407166125,0.0,36.26
2024,GREENM.CO,COX,GreenMobility A/S,Passenger Transportation Services,Industrials,201.85,0.0,185.01,0.0,14.95,9.95,0.0,0.18994974874371903,0.0,37.14
