Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,21758.58,16866.75,1241.54,0.0,130.3,11878.53,169.89,0.29215365998197285
2005,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,24015.28,17900.04,1457.98,0.0,0.0,12044.45,152.85,0.3818271256753542
2006,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,27022.12,20089.51,1191.26,0.0,76.57,13962.86,196.67,0.40006836385106004
2007,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,35052.14,25920.95,1412.8,0.0,919.62,24296.44,192.59,0.277625124392432
2008,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,46468.38,36091.71,1520.75,0.0,716.75,31117.58,176.96,0.2600827492591359
2009,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,24556.69,23883.48,1372.77,0.0,359.65,24907.69,130.27,-0.04230416535532452
2010,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,33494.19,30172.74,1212.69,0.0,302.33,25881.32,165.72,0.06935260206150107
2011,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,38555.38,34426.05,1303.32,0.0,412.85,26697.64,0.0,0.0903885137412893
2012,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,33451.18,31049.96,1265.07,0.0,450.34,24627.14,0.0,0.02784773221738299
2013,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,32901.32,31591.76,1135.37,0.0,496.39,25565.03,21.68,-0.012592474765219857
2014,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,43864.11,40810.74,1526.68,0.0,706.39,41998.67,59.43,0.019503971886509437
2015,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,54367.97,50245.24,2215.3,0.0,674.05,46460.1,50.24,0.026518404294614984
2016,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,54355.19,49333.47,2052.29,0.0,726.65,50157.51,46.47,0.04467335059889676
2017,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,63967.97,56737.33,2015.13,0.0,998.36,53265.4,63.04,0.0790788179815498
2018,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,70179.87,61187.9,2105.18,0.0,650.85,58002.17,76.12,0.10737127418868553
2019,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,71175.7,65318.6,2198.97,0.0,570.45,56554.2,96.58,0.054503750875098254
2020,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,66931.63,63063.89,2021.38,0.0,511.74,56373.26,113.82,0.02362699576611156
2021,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,96102.64,72584.85,2129.69,0.0,438.97,71587.08,30.2,0.2925150187217386
2022,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,122326.37,120759.58,2521.68,342.05,447.52,63181.49,62.12,-0.016766278838289055
2023,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,118924.6,96478.12,2937.06,385.17,755.41,68331.13,76.51,0.27978132267097666
2024,SSABAH.HE,HEX,SSAB AB,Metals & Mining,Materials,105175.85,90437.52,2981.84,496.29,740.37,72959.83,50.38,0.15768219266866923
