Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,859.99,273.61,459.45,0.0,93.26,2123.48,303.65,0.013872351295563072,273.61,0.0
2005,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,1422.07,328.3,597.61,0.0,137.17,2457.95,235.84,0.13326577053148167,328.3,0.0
2006,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,1883.04,262.46,858.25,0.0,192.8,3159.07,14.72,0.17944791558357673,262.46,0.0
2007,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,2219.05,339.84,832.58,0.0,221.89,3681.85,35.6,0.22185638004546132,339.84,0.0
2008,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,2208.88,416.64,957.58,0.0,315.49,3681.69,15.93,0.14040653176908396,416.64,0.0
2009,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,2529.38,583.52,1369.81,0.0,254.15,4611.79,18.52,0.06952018331386023,583.52,0.0
2010,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,2616.87,638.59,1638.53,0.0,370.65,4564.8,424.64,-0.006193079784504915,638.59,0.0
2011,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,2980.09,730.47,1909.91,0.0,549.97,4477.22,-61.3,-0.0476140872117249,730.47,0.0
2012,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,3362.2,417.43,1949.0499999999995,0.0,524.36,4666.87,-41.94,0.10191721820654592,417.43,0.0
2013,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,3626.14,274.65,2139.83,0.0,449.97,5003.57,-49.3,0.1537441439404796,274.65,0.0
2014,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,3880.17,275.03,2246.6,0.0,454.24,5146.55,-89.01,0.17880234264088873,275.03,0.0
2015,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,3655.96,0.0,2295.24,0.0,480.43,3782.5,-114.92,0.2400193042823879,0.0,0.0
2016,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,2580.14,367.86,1705.5700000000002,0.0,526.63,3392.52,63.21,-0.005764339227891188,367.86,0.0
2017,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,3776.74,776.49,3038.6000000000004,0.0,1129.58,4930.44,31.96,-0.2353558761889409,776.49,0.0
2018,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,4910.1,5288.16,481.79,0.0,1454.85,-853.1,2.43,2.7210316573994606,1436.08,0.0
2019,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,5244.88,1185.6,3971.05,0.0,1644.51,-3838.11,2.69,0.40576520954680323,1185.6,0.0
2020,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,5025.63,1076.11,3993.75,0.0,1437.62,4227.26,15.81,-0.34924005496020555,1076.11,0.0
2021,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,5417.5,993.05,4015.98,0.0,1003.54,3088.08,-4.6,-0.1929864957774982,993.05,0.0
2022,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,4778.28,802.03,3158.91,0.0,1063.23,1762.51,-9.39,-0.14025851054120647,802.03,0.0
2023,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,6978.98,918.1,4172.43,0.0,1683.32,1827.23,-2.68,0.11242772190403057,918.1,0.0
2024,SOFF.OL,OBX,Solstad Offshore ASA,Oil & Gas Related Equipment and Services,Energy,2790.72,818.04,1441.8,0.0,569.89,3209.76,58.85,-0.011934736784137631,818.04,0.0
