Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,3805.26,5441.78,0.0,0.0,96.3,1983.51,131.44,-0.8193196056644363
2005,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,4015.85,5898.719999999999,0.0,0.0,83.22,2471.11,505.55,-0.6605020391982959
2006,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,7951.18,12507.4,0.0,0.0,131.08,3819.18,420.26,-1.1056413111165626
2007,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,8766.35,13892.59,0.0,61.2,164.13,5290.43,711.89,-0.8711914726305827
2008,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,10851.68,17839.0,0.0,74.91,224.74,5759.85,287.29,-1.1802521522571
2009,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,9895.3,16325.25,0.0,125.69,136.01,4965.98,333.22,-1.2153287288647345
2010,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,10160.29,16731.46,0.0,105.89,97.19,4589.96,0.0,-1.4297444857907253
2011,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,11586.25,9602.39,0.0,62.56,102.74,4366.78,35.28,0.44153873413810824
2012,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,11210.83,18906.38,0.0,0.0,0.0,4551.73,3.35,-1.6894434345829275
2013,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,12196.21,20871.88,0.0,78.76,63.89,6420.02,3.8,-1.3482320488432118
2014,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,13212.95,22588.96,0.0,86.22,64.14,7370.26,3.52,-1.2685393380328676
2015,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,15071.25,25474.68,0.0,86.72,49.18,8561.94,26.63,-1.2069401541816625
2016,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,17929.21,29827.24,0.0,91.09,45.04,9533.25,21.52,-1.240425462883984
2017,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,21367.98,35609.8,0.0,108.27,42.4,11002.55,19.18,-1.2861819333262567
2018,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,23518.26,39370.18,0.0,108.23,61.85,11479.88,9.29,-1.3756903240181844
2019,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,27623.74,46358.72,0.0,152.98,91.0,12543.02,2.64,-1.4884031609337411
2020,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,30609.49,51069.06,0.0,152.52,96.41,13524.93,0.0,-1.5085815601263737
2021,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,33099.9,23475.66,30164.25,143.5,83.37,14318.55,20.2,-1.428289076802371
2022,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,44294.97,32662.4,41197.84,176.44,198.15,14593.14,1253.7,-1.8670586691100557
2023,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,56985.55,41553.05,52660.71,214.4,647.81,15990.0,1350.51,-2.1718865246754566
2024,SCHO.CO,COX,Schouw & Co A/S,Food & Tobacco,Consumer Staples,54017.11,37808.55,49515.43,247.76,785.34,17799.25,1505.5,-1.753166966679185
