Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA
2004,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,425.7,144.35,175.18,0.0,19.11,169.48,0.0,0.5136889308472977,0.0,48.29
2005,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,446.51,162.28,176.44,0.0,20.52,170.77,0.0,0.5110382385664931,0.0,53.44
2006,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,423.01,212.8,131.83,0.0,14.64,436.91,2.17,0.14516716771431165,0.0,27.24
2007,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,52.41,0.0,61.2,0.0,3.34,594.51,3.75,-0.020275465516665005,0.0,1.31
2008,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,24.9,0.0,49.230000000000004,0.0,1.41,407.83,0.0,-0.06311453301620774,0.0,1.64
2009,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,19.38,0.0,27.580000000000002,0.0,1.98,402.17,0.0,-0.0253126787179551,0.0,1.82
2010,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,11.4,0.0,29.97,0.0,12.22,352.73,0.0,-0.08729056218637483,0.0,1.89
2011,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,10.56,0.0,30.66,0.0,13.55,282.28,0.0,-0.11920787870199805,0.0,1.94
2012,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,501.41,255.24,273.88000000000005,0.0,23.56,377.71,12.48,-0.1313975242830417,0.0,11.04
2013,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,693.72,310.53,381.72999999999996,0.0,43.78,458.28,14.72,-0.08947145877378417,0.0,23.46
2014,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,714.58,303.26,395.89,0.0,41.52,458.34,15.78,-0.0550282628870327,0.0,24.01
2015,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,729.46,296.66,423.71000000000004,0.0,43.67,461.2,23.72,-0.07131073166707917,0.0,26.3
2016,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,765.53,294.87,467.74,0.0,46.68,371.98,25.55,-0.110079742409378,0.0,25.03
2017,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,778.61,282.38,474.88000000000005,0.0,44.87,414.68,31.77,-0.052682271250980024,0.0,26.16
2018,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,791.34,294.51,509.42,0.0,50.19,374.41,64.9,-0.14290592064828928,0.0,26.79
2019,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,889.02,278.35,611.54,0.0,56.66,445.82,67.97,-0.11197181727943324,0.0,37.95
2020,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,838.94,309.76,563.05,0.0,54.32,319.74,64.01,-0.22981107491856648,0.0,39.89
2021,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,883.26,297.12,606.46,0.0,52.66,281.44,57.86,-0.21508989095196004,0.0,33.31
2022,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,918.77,260.56,650.67,0.0,50.13,453.21,54.67,-0.0838583917460816,0.0,31.8
2023,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,1106.2,582.57,463.12,6.56,54.53,682.57,73.27,0.01659081287044876,0.0,31.75
2024,BOR.OL,OBX,Borgestad ASA,Real Estate Operations,Real Estate,1140.25,528.95,536.15,6.99,34.230000000000004,728.83,80.2,0.05921906480600222,0.0,34.73
