Year,Ticker,Exchange,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,5693.14,3674.1,1419.94,53.55,0.0,1729.95,15.65,0.3738829055912009
2005,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,7074.68,6881.65,0.0,0.0,0.0,1749.37,86.23,0.10515907605142769
2006,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,7515.43,6944.32,0.0,0.0,0.0,1944.33,4.93,0.2929881083077684
2007,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,16881.32,16024.95,0.0,0.0,2.4,2605.36,22.99,0.3249072612095037
2008,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,18897.24,18143.69,0.0,0.0,0.0,3089.13,52.42,0.23986567140424403
2009,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,18543.57,12868.27,4731.89,77.67,173.67,3228.78,77.96,0.2562675021320089
2010,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,16983.95,11571.53,4067.92,76.83,175.27,3267.0,86.45,0.3715755416064053
2011,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,19413.37,13564.58,4551.389999999999,87.27,277.4,3166.63,94.39,0.3395471355588129
2012,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,18707.53,13780.84,4392.32,78.47,261.58,2894.83,63.12,0.11875116212241561
2013,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,16501.13,11951.84,4265.0599999999995,24.99,171.01,3335.24,75.04,0.04052746402054998
2014,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,16618.76,11777.79,4499.1900000000005,30.92,117.83,3945.48,78.64,0.06333558641392333
2015,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,17147.81,12028.78,4590.4,45.62,96.6,3955.21,132.48,0.11685083751458669
2016,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,17395.81,12127.56,4775.05,61.3,102.17,3584.83,135.29,0.12159016375815883
2017,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,16869.98,11861.52,4815.33,60.65,108.23,3313.87,141.77,0.042119549490108585
2018,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,16470.33,11629.28,4851.610000000001,82.57,130.57999999999998,3066.43,152.58,-0.018195035119493188
2019,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,17173.45,11925.13,4771.83,57.1,158.5,3029.92,169.26,0.1172456692027338
2020,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,19098.05,13034.07,5304.78,52.54,165.14,3235.05,212.67,0.1875442321302193
2021,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,16719.01,11307.92,4759.73,0.0,199.17,3086.54,221.25,0.1367045670976691
2022,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,11077.91,7609.69,3225.9700000000003,0.0,175.62,0.0,0.0,
2023,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,10643.11,9894.78,701.55,0.0,47.91,2361.16,300.88,-0.00042448648404983544
2024,HKFOODS.HE,HEX,HKFoods Oyj,Food & Tobacco,Consumer Staples,11640.52,7892.04,3173.3199999999997,33.7,264.93,2199.24,336.53,0.13563138612729098
