Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2004,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1098.8,143.4,482.27,51.15,0.0,276.75,2345.57,49.55
2005,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,976.53,106.14,662.34,0.0,0.0,0.0,2217.15,-47.51
2006,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,991.56,111.08,716.58,273.16,0.0,348.73,2232.6,129.65
2007,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,997.42,101.76,872.12,373.4,0.0,126.99,1941.87,54.61
2008,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,785.19,40.02,458.84,65.8,0.0,156.5,1806.91,-41.91
2009,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,449.87,89.81,208.75,27.51,0.0,40.46,1136.8,69.13
2010,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,544.02,134.49,222.12,18.22,0.0,151.84,1296.28,169.64
2011,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,439.06,18.22,275.06,32.11,0.0,659.46,1168.8,30.23
2012,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,415.17,22.26,244.82,61.63,0.0,646.3,1107.7,35.24
2013,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,428.82,32.99,304.41,56.55,0.0,609.77,1094.19,55.96
2014,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,546.35,85.31,236.75,0.0,0.0,589.48,1208.67,95.53
2015,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,711.66,176.87,324.43,0.0,0.0,689.69,1450.54,320.3
2016,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,553.82,15.17,307.26,13.28,0.0,836.42,1412.05,183.63
2017,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,929.6,326.21,354.23,0.0,0.0,1020.66,2008.3,214.97
2018,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1084.18,232.25,399.13,0.0,0.0,1150.54,2343.04,208.83
2019,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1024.87,352.56,380.69,0.0,9.38,1123.32,2225.07,429.93
2020,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1014.96,344.59,412.46,0.0,24.02,1256.17,2356.76,87.0
2021,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1016.17,156.86,490.06,0.0,5.85,1181.8,2320.73,288.64
2022,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1808.17,437.69,687.12,0.0,70.59,1120.11,3221.01,514.03
2023,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1356.11,197.33,681.58,32.22,22.15,1282.62,2836.06,103.51
2024,RROS.ST,Rottneros AB,Paper & Forest Products,Materials,1180.25,19.53,636.39,72.99,1.03,1623.36,2925.96,15.25
