Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2012,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,1840.74,212.85,1914.75,0.0,9.88,136.34,6283.35,18.24
2013,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,1900.84,271.66,2091.94,0.0,9.19,129.46,6347.94,226.69
2014,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,2268.05,321.29,2411.37,115.02,3.08,72.25,6289.19,68.76
2015,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,1986.38,447.93,2056.5,14.65,29.3,73.26,6401.83,169.23
2016,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,1993.37,571.84,1926.98,6.64,23.71,71.12,5903.28,403.58
2017,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,2281.47,709.46,2229.44,3.0,30.02,83.05,6139.97,477.39
2018,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,2211.3,424.5,2439.65,3.9,31.23,105.39,6317.72,326.83
2019,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,2105.99,466.02,2528.88,11.25,39.38,78.76,6436.12,629.07
2020,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,1875.38,413.5,2557.25,0.0,52.21,85.62,6332.03,753.28
2021,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,2301.25,611.85,2787.41,0.0,61.38,82.81,6903.74,738.63
2022,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,2276.92,455.57,2947.1,0.0,27.3,82.83,6702.75,642.3
2023,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,2566.24,537.61,4322.04,1006.76,35.24,88.6,7478.25,584.23
2024,COOR.ST,Coor Service Management Holding AB,Professional & Commercial Services,Industrials,2309.1,217.96,3215.88,0.0,52.43,94.58,7312.84,292.9
