Year,Ticker,CompanyName,Industry,Sector,ACT,CHE,LCT,STD,TXP,PPEGT,AT,OANCF
2017,ALLIGOb.ST,Alligo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1833.41,66.13,1273.71,174.43,0.0,61.34,2444.87,170.49
2018,ALLIGOb.ST,Alligo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,1900.6,9.41,1274.91,381.06,47.04,57.39,2572.4,89.56
2019,ALLIGOb.ST,Alligo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,2022.17,7.42,1258.76,256.94,19.48,58.44,2703.03,213.64
2020,ALLIGOb.ST,Alligo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,3653.66,391.58,2259.65,358.15999999999997,37.59,528.37,8157.3,1126.71
2021,ALLIGOb.ST,Alligo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,4429.07,278.64,2666.6,264.03,7.79,518.32,8455.76,751.66
2022,ALLIGOb.ST,Alligo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,3822.48,202.37,2001.13,71.54,51.77,540.29,7872.74,481.72
2023,ALLIGOb.ST,Alligo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,4174.05,384.58,2062.86,94.64,27.18,670.51,8846.44,988.31
2024,ALLIGOb.ST,Alligo AB,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials,4724.1,688.82,2332.75,94.58,12.34,686.77,9944.77,968.18
