Exchange,Date,Method,PortfolioStrategy,Return
Copenhagen,2014-09-30,Method1_Raw,Q5,0.03382639369315423
Copenhagen,2014-10-31,Method1_Raw,Q5,0.12614880247870422
Copenhagen,2014-11-30,Method1_Raw,Q5,0.03957729575924266
Copenhagen,2014-12-31,Method1_Raw,Q5,0.07802355621167792
Copenhagen,2015-01-31,Method1_Raw,Q5,0.06706130444883686
Copenhagen,2015-02-28,Method1_Raw,Q5,0.025832232727378352
Copenhagen,2015-03-31,Method1_Raw,Q5,0.12214377360171812
Copenhagen,2015-04-30,Method1_Raw,Q5,-0.006870560933632575
Copenhagen,2015-05-31,Method1_Raw,Q5,0.03668478407383328
Copenhagen,2015-06-30,Method1_Raw,Q5,-0.023830267490222233
Copenhagen,2015-07-31,Method1_Raw,Q5,0.08456426662401903
Copenhagen,2015-08-31,Method1_Raw,Q5,-0.009152455506083096
Copenhagen,2015-09-30,Method1_Raw,Q5,0.012242287844175992
Copenhagen,2015-10-31,Method1_Raw,Q5,0.028335627010302237
Copenhagen,2015-11-30,Method1_Raw,Q5,0.1499128173948533
Copenhagen,2015-12-31,Method1_Raw,Q5,0.06623716032213205
Copenhagen,2016-01-31,Method1_Raw,Q5,-0.03371945963929256
Copenhagen,2016-02-29,Method1_Raw,Q5,-0.03298256580501972
Copenhagen,2016-03-31,Method1_Raw,Q5,0.010235957402113558
Copenhagen,2016-04-30,Method1_Raw,Q5,-0.014259821726277471
Copenhagen,2016-05-31,Method1_Raw,Q5,0.06443136186751022
Copenhagen,2016-06-30,Method1_Raw,Q5,-0.03825042048264152
Copenhagen,2016-07-31,Method1_Raw,Q5,0.09453277102564964
Copenhagen,2016-08-31,Method1_Raw,Q5,0.0025248137291694144
Copenhagen,2016-09-30,Method1_Raw,Q5,-0.03400910744369474
Copenhagen,2016-10-31,Method1_Raw,Q5,-0.032300577654791586
Copenhagen,2016-11-30,Method1_Raw,Q5,-0.03977064434045599
Copenhagen,2016-12-31,Method1_Raw,Q5,0.07693153179200395
Copenhagen,2017-01-31,Method1_Raw,Q5,0.02116340784292096
Copenhagen,2017-02-28,Method1_Raw,Q5,-0.005809402661098671
Copenhagen,2017-03-31,Method1_Raw,Q5,0.08097712171436398
Copenhagen,2017-04-30,Method1_Raw,Q5,0.1022747723297884
Copenhagen,2017-05-31,Method1_Raw,Q5,0.06863910591004539
Copenhagen,2017-06-30,Method1_Raw,Q5,0.004792953936776595
Copenhagen,2017-07-31,Method1_Raw,Q5,-0.036216531339557455
Copenhagen,2017-08-31,Method1_Raw,Q5,0.019932706557644408
Copenhagen,2017-09-30,Method1_Raw,Q5,0.0533079315867477
Copenhagen,2017-10-31,Method1_Raw,Q5,0.0632413636074045
Copenhagen,2017-11-30,Method1_Raw,Q5,-0.059124649621250185
Copenhagen,2017-12-31,Method1_Raw,Q5,0.027752330453390216
Copenhagen,2018-01-31,Method1_Raw,Q5,0.0018935152689285358
Copenhagen,2018-02-28,Method1_Raw,Q5,0.00099222292054673
Copenhagen,2018-03-31,Method1_Raw,Q5,0.012970588614999484
Copenhagen,2018-04-30,Method1_Raw,Q5,0.01839068423492348
Copenhagen,2018-05-31,Method1_Raw,Q5,0.07144016423563274
Copenhagen,2018-06-30,Method1_Raw,Q5,0.03721458461817272
Copenhagen,2018-07-31,Method1_Raw,Q5,0.07265789008543494
Copenhagen,2018-08-31,Method1_Raw,Q5,0.02128331603431081
Copenhagen,2018-09-30,Method1_Raw,Q5,-0.09444063486696856
Copenhagen,2018-10-31,Method1_Raw,Q5,-0.07100577255922419
