Exchange,PortfolioStrategy,FactorModel,Method1_Raw_alpha_annualized,Method2_PostMean_alpha_annualized,Method3_ProbQ5_alpha_annualized,Method1_Raw_p_value,Method2_PostMean_p_value,Method3_ProbQ5_p_value,Method1_Raw_t_stat,Method2_PostMean_t_stat,Method3_ProbQ5_t_stat,Method2_PostMean_minus_Method1_Raw_alpha_difference_annualized,Method3_ProbQ5_minus_Method1_Raw_alpha_difference_annualized,Method2_PostMean_minus_Method1_Raw_p_value,Method3_ProbQ5_minus_Method1_Raw_p_value,Method2_PostMean_minus_Method1_Raw_t_stat,Method3_ProbQ5_minus_Method1_Raw_t_stat
Copenhagen,LongShort,CAPM,0.1493950282088193,0.10631025359300764,0.08881350804285212,0.043638922935054,0.11882112311105963,0.04849402181471052,2.031091303540705,1.5668182796525596,1.9857962206416961,-0.04308477461581159,-0.06058152016596723,0.6667545474015824,0.48162285824899964,-0.4309424673109065,-0.7043876256294943
Copenhagen,LongShort,FF3,0.14058647261488183,0.09764256218589616,0.08428363739912445,0.040604197134472386,0.11135207289841098,0.048345832005801004,2.0617830047190826,1.5996650827082624,1.9872576661932881,-0.0429439104289861,-0.05630283521575996,0.6391205570715024,0.4834973836001981,-0.46930934300936794,-0.701383819550471
Copenhagen,LongShort,FF3+MOM,0.10891000607678414,0.08216502551756318,0.05726364976755974,0.08036594528304586,0.17083585192454676,0.1637879859824991,1.7581033123513505,1.374808654879857,1.3979369060476075,-0.026744980559232072,-0.05164635630922868,0.7560366558957119,0.48681201068424684,-0.31091736521834934,-0.6960784927991426
Copenhagen,LongShort,FF5,0.13388009844039886,0.09030452023552565,0.08102965268650467,0.03907280248460121,0.11614587283490008,0.04202433219001045,2.078102160568488,1.5785177452375523,2.0474055842738483,-0.04357557820487549,-0.052850445753902214,0.6137041059918609,0.48519666746303236,-0.5052191488919967,-0.698667066417172
Copenhagen,LongShort,FF5+MOM,0.1169245619638252,0.08778643227848898,0.06514013289696016,0.04997508265673445,0.1166448367273274,0.08720206732841396,1.9730868049779489,1.5763881677987661,1.7194659525969,-0.029138129685332928,-0.051784429066850005,0.720271493572989,0.4618512043568901,-0.3583690948484981,-0.7365690643887594
Copenhagen,Q5,CAPM,0.1026713779579451,0.07620957850578108,0.09816879627919425,0.005812696186343391,0.019612206590204684,0.005326731375944194,2.7897345188025353,2.353640460978748,2.8190659647408585,-0.026461799452163974,-0.004502581678750939,0.5888787496784018,0.9290529961798522,-0.5409213233944489,-0.08909544307048226
Copenhagen,Q5,FF3,0.09823891842542883,0.07137852026524633,0.09351588851954398,0.002229995828415099,0.012651510374236175,0.0017996489884599676,3.1003789339261516,2.5175803454014325,3.1666297249616213,-0.02686039816019798,-0.004723029905900247,0.5270368868429249,0.9129875045010178,-0.633125016667626,-0.10934460093465961
Copenhagen,Q5,FF3+MOM,0.0629927820286313,0.038876009938194823,0.059873526744532966,0.015497545729340034,0.09491022139074778,0.011805865379627356,2.442928971601477,1.6785491680209874,2.54283225198215,-0.02411677209042965,-0.003119255284091349,0.4854215988414645,0.9285733307282094,-0.6983031192704531,-0.08970037953105825
Copenhagen,Q5,FF5,0.09267924171341191,0.06559735376965667,0.08879332607955512,0.0023244628521221777,0.018662936438849087,0.0019852456580240485,3.087893382311056,2.373024255006273,3.1369130024853247,-0.0270818879437776,-0.0038859156338794804,0.5061306890813353,0.9247632537925463,-0.665519521302388,-0.09449950646724495
Copenhagen,Q5,FF5+MOM,0.06400615721853457,0.03808263685346849,0.06117149083630532,0.012754119194116509,0.10086179945829166,0.010012023298941575,2.51502930932417,1.648916575337164,2.6022378559040913,-0.025923520365064276,-0.002834666382227971,0.4490558498148407,0.9344845641710267,-0.7577953766961011,-0.08225984798165546
