Method,Portfolio,mean_excess_ann,volatility_ann,sharpe_ratio,max_drawdown
Method1_ObservedQuality,Q1,0.12453411586382378,0.152925382862645,0.8143456209338263,-0.20635553768186307
Method1_ObservedQuality,Q2,0.10011530904052326,0.15056050291583928,0.6649506816305336,-0.18829999645385778
Method1_ObservedQuality,Q3,0.13295941480310236,0.13702791750178353,0.9703089503740855,-0.3268056218440464
Method1_ObservedQuality,Q4,0.08509350437786514,0.13840209419577998,0.614828156122364,-0.27366662414673193
Method1_ObservedQuality,Q5,0.11448948667825579,0.1374582935048447,0.8329034484501339,-0.24069881630645515
Method2_LatentQuality,Q1,0.13498377779475146,0.14958482862332573,0.9023894938881694,-0.161061836675212
Method2_LatentQuality,Q2,0.09093378280400657,0.15047582725000536,0.6043082431633772,-0.3004478069052636
Method2_LatentQuality,Q3,0.12833909331978294,0.13895056049960708,0.9236313467058368,-0.33415720768713253
Method2_LatentQuality,Q4,0.07440818746655309,0.13776220245014914,0.5401204840164961,-0.2563585399336177
Method2_LatentQuality,Q5,0.1109587886272573,0.1384226073947254,0.8015944123263596,-0.24028058393991977
Method3_ConservativeQuality,Q1,0.12415503781662371,0.15466330948091003,0.8027439619216739,-0.2283128621561828
Method3_ConservativeQuality,Q2,0.10753058743446944,0.15447563775243958,0.6961006214248256,-0.1924471711261964
Method3_ConservativeQuality,Q3,0.12513298174287205,0.1312111374818041,0.953676525822551,-0.2470350243641631
Method3_ConservativeQuality,Q4,0.06566771153731601,0.1377484517550112,0.47672195731177847,-0.30222410104673564
Method3_ConservativeQuality,Q5,0.11345384734352354,0.1385480041240564,0.818877529566839,-0.23846600125324385
Method4_ProbabilisticQuality,Q1,0.1248563442178886,0.15315251911100275,0.815241857872377,-0.20699606497701065
Method4_ProbabilisticQuality,Q5,0.11475337430317481,0.1375808808909232,0.8340793688779584,-0.240652790947319
