portfolio_year,cfo_t1_source,specification_label,reference_sample_label,window_rows_initial,window_firms_initial,window_training_years_initial,window_rows_before_cfo_source_filter,rows_dropped_missing_analyst_forecast,rows_dropped_missing_realized_cfo_lead,window_rows_after_cfo_source_filter,portfolio_firms_after_cfo_source_filter,rows_removed_no_portfolio_year_row_after_cfo_filter,firms_removed_no_portfolio_year_row_after_cfo_filter,training_years_after_cfo_filter,training_rows_after_cfo_filter_before_firm_filter,firms_removed_after_cfo_filter_insufficient_training,rows_removed_after_cfo_filter_insufficient_training,window_dropped_insufficient_training_history,skipped,window_rows_final,window_firms_final,portfolio_year_rows_final
2009,none,baseline,,1620,320,5,1620,0,0,1620,318,7,2,5,1295,0,0,False,False,1613,318,318
2010,none,baseline,,1909,329,5,1909,0,0,1909,327,8,2,5,1574,0,0,False,False,1901,327,327
2011,none,baseline,,2018,344,5,2018,0,0,2018,342,10,2,5,1666,0,0,False,False,2008,342,342
2012,none,baseline,,2094,357,5,2094,0,0,2094,356,4,1,5,1734,0,0,False,False,2090,356,356
2013,none,baseline,,2189,374,5,2189,0,0,2189,373,3,1,5,1813,0,0,False,False,2186,373,373
2014,none,baseline,,2273,387,5,2273,0,0,2273,387,0,0,5,1886,0,0,False,False,2273,387,387
2015,none,baseline,,2377,405,5,2377,0,0,2377,405,0,0,5,1972,0,0,False,False,2377,405,405
2016,none,baseline,,2527,434,5,2527,0,0,2527,434,0,0,5,2093,0,0,False,False,2527,434,434
2017,none,baseline,,2627,447,5,2627,0,0,2627,447,0,0,5,2180,0,0,False,False,2627,447,447
2018,none,baseline,,2809,482,5,2809,0,0,2809,482,0,0,5,2327,0,0,False,False,2809,482,482
2019,none,baseline,,2965,509,5,2965,0,0,2965,509,0,0,5,2456,0,0,False,False,2965,509,509
2020,none,baseline,,3107,529,5,3107,0,0,3107,529,0,0,5,2578,0,0,False,False,3107,529,529
2021,none,baseline,,3226,547,5,3226,0,0,3226,547,0,0,5,2679,0,0,False,False,3226,547,547
2022,none,baseline,,3359,571,5,3359,0,0,3359,570,5,1,5,2784,0,0,False,False,3354,570,570
2023,none,baseline,,3478,591,5,3478,0,0,3478,588,14,3,5,2876,0,0,False,False,3464,588,588
2024,none,baseline,,3625,617,5,3625,0,0,3625,616,3,1,5,3006,0,0,False,False,3622,616,616
