size_bucket_num,size_bucket,Avg_Total_Firms,Avg_Covered_Firms,Avg_Coverage_Rate
1,"Smallest
20%",105.0,13.166666666666666,0.11293128293969627
2,"Small
firms",104.58333333333333,27.916666666666668,0.250193621036323
3,"Middle
firms",104.16666666666667,47.0,0.43721050220023766
4,"Large
firms",104.58333333333333,72.58333333333333,0.6914355996321436
5,"Largest
20%",104.75,94.83333333333333,0.9048028292370321
