Method,Portfolio,Date,n_firms,raw_weight_sum,capped_weight_sum,max_raw_weight,max_capped_weight,n_names_capped
Method1_Raw,Q1,2010-03-31,59,1.0,1.0,0.5459514861887904,0.05,4
Method1_Raw,Q2,2010-03-31,61,1.0,1.0,0.20442766135653623,0.05,5
Method1_Raw,Q3,2010-03-31,58,1.0,1.0,0.1930606741570516,0.05,5
Method1_Raw,Q4,2010-03-31,59,1.0,0.9999999999999999,0.2593650304776912,0.04999999999999999,5
Method1_Raw,Q5,2010-03-31,59,0.9999999999999999,0.9999999999999999,0.19310438305366232,0.05,5
Method2_PostMean,Q1,2010-03-31,58,1.0,1.0000000000000002,0.4036136690363602,0.05,4
Method2_PostMean,Q2,2010-03-31,62,0.9999999999999999,1.0000000000000002,0.1945838280926922,0.05000000000000002,5
Method2_PostMean,Q3,2010-03-31,58,1.0000000000000002,1.0,0.21250060075299765,0.05,4
Method2_PostMean,Q4,2010-03-31,59,1.0,0.9999999999999998,0.20184309269528336,0.04999999999999999,5
Method2_PostMean,Q5,2010-03-31,59,1.0,1.0,0.1770250723751678,0.05,6
Method3_ProbQ5,Q1,2010-03-31,60,1.0000000000000002,1.0,0.21483618785762365,0.05,6
Method3_ProbQ5,Q2,2010-03-31,58,0.9999999999999999,1.0,0.40990369082239386,0.05,3
Method3_ProbQ5,Q3,2010-03-31,59,1.0,0.9999999999999999,0.16182713909074684,0.05,7
Method3_ProbQ5,Q4,2010-03-31,60,1.0,1.0,0.3051814021503369,0.05000000000000001,3
Method3_ProbQ5,Q5,2010-03-31,59,1.0,1.0000000000000002,0.17651965281325366,0.05000000000000001,6
Method1_Raw,Q1,2010-04-30,60,1.0,1.0,0.5336411610648986,0.05,4
Method1_Raw,Q2,2010-04-30,61,1.0,0.9999999999999998,0.2198105199549095,0.04999999999999999,5
Method1_Raw,Q3,2010-04-30,59,1.0,1.0,0.18331872101313254,0.05,5
Method1_Raw,Q4,2010-04-30,59,0.9999999999999998,1.0,0.2586427398394807,0.05,5
Method1_Raw,Q5,2010-04-30,59,1.0,0.9999999999999998,0.1879321728036854,0.04999999999999999,5
Method2_PostMean,Q1,2010-04-30,59,1.0000000000000002,1.0,0.38811887139043405,0.05,5
Method2_PostMean,Q2,2010-04-30,62,1.0,1.0,0.1741787278715154,0.05,5
Method2_PostMean,Q3,2010-04-30,59,1.0,0.9999999999999998,0.20237315436704947,0.04999999999999999,5
Method2_PostMean,Q4,2010-04-30,59,0.9999999999999998,1.0,0.18909620553091488,0.05,6
Method2_PostMean,Q5,2010-04-30,59,1.0,1.0000000000000002,0.17235272544693844,0.05000000000000002,6
Method3_ProbQ5,Q1,2010-04-30,60,0.9999999999999999,0.9999999999999998,0.2155191530722595,0.04999999999999999,6
Method3_ProbQ5,Q2,2010-04-30,59,1.0,1.0,0.3789441831906607,0.05000000000000001,3
Method3_ProbQ5,Q3,2010-04-30,60,1.0000000000000002,0.9999999999999998,0.16241973377211338,0.04999999999999999,6
Method3_ProbQ5,Q4,2010-04-30,60,0.9999999999999998,0.9999999999999999,0.2804925154024257,0.04999999999999999,5
Method3_ProbQ5,Q5,2010-04-30,59,1.0,1.0,0.17191740688739537,0.05,6
Method1_Raw,Q1,2010-05-31,60,0.9999999999999999,1.0000000000000002,0.5009154529528165,0.05,4
Method1_Raw,Q2,2010-05-31,61,0.9999999999999999,0.9999999999999999,0.2568310295519187,0.04999999999999999,5
Method1_Raw,Q3,2010-05-31,59,1.0,0.9999999999999999,0.19878806597327048,0.05,6
Method1_Raw,Q4,2010-05-31,59,0.9999999999999999,0.9999999999999999,0.2714377857198601,0.04999999999999999,4
Method1_Raw,Q5,2010-05-31,59,0.9999999999999999,1.0,0.20159626368082828,0.05,6
Method2_PostMean,Q1,2010-05-31,59,1.0,1.0,0.3377946754751273,0.05,5
Method2_PostMean,Q2,2010-05-31,62,0.9999999999999999,1.0,0.17378191660356138,0.05,5
Method2_PostMean,Q3,2010-05-31,59,0.9999999999999999,1.0,0.219652421322977,0.05,5
Method2_PostMean,Q4,2010-05-31,59,0.9999999999999998,1.0000000000000002,0.19236571062711305,0.05000000000000001,6
Method2_PostMean,Q5,2010-05-31,59,1.0,1.0,0.18291820927994368,0.05,6
Method3_ProbQ5,Q1,2010-05-31,60,1.0000000000000004,1.0,0.19241163751159363,0.05,6
Method3_ProbQ5,Q2,2010-05-31,59,1.0,1.0000000000000002,0.3946875531430174,0.05000000000000001,3
Method3_ProbQ5,Q3,2010-05-31,60,1.0,1.0,0.17477074623619754,0.05,6
Method3_ProbQ5,Q4,2010-05-31,60,1.0,1.0,0.29015268561916024,0.05,5
Method3_ProbQ5,Q5,2010-05-31,59,1.0000000000000002,1.0,0.18248000873486594,0.05,6
Method1_Raw,Q1,2010-06-30,59,1.0,1.0,0.5109125404134026,0.05,4
Method1_Raw,Q2,2010-06-30,60,1.0,1.0000000000000002,0.25310293893619057,0.05,5
Method1_Raw,Q3,2010-06-30,60,1.0000000000000002,0.9999999999999999,0.20618829959323837,0.05,6
Method1_Raw,Q4,2010-06-30,60,1.0000000000000002,1.0,0.2770524501937204,0.05,4
Method1_Raw,Q5,2010-06-30,61,0.9999999999999999,0.9999999999999999,0.18661074052803164,0.05,6
Method2_PostMean,Q1,2010-06-30,58,1.0000000000000002,1.0000000000000002,0.35052092235884824,0.05000000000000001,5
Method2_PostMean,Q2,2010-06-30,61,0.9999999999999999,0.9999999999999999,0.17604110979708779,0.04999999999999999,5
Method2_PostMean,Q3,2010-06-30,60,1.0,0.9999999999999998,0.2271764974804008,0.04999999999999999,5
Method2_PostMean,Q4,2010-06-30,61,1.0,1.0000000000000002,0.19293185721742195,0.05000000000000001,6
Method2_PostMean,Q5,2010-06-30,60,1.0000000000000002,1.0,0.16930842405288193,0.05,6
Method3_ProbQ5,Q1,2010-06-30,58,1.0,0.9999999999999998,0.195415537009725,0.04999999999999999,6
Method3_ProbQ5,Q2,2010-06-30,59,0.9999999999999999,1.0,0.4176082642308246,0.05,3
Method3_ProbQ5,Q3,2010-06-30,62,1.0,0.9999999999999999,0.16453710320480705,0.05,6
Method3_ProbQ5,Q4,2010-06-30,61,1.0,1.0,0.29108424648077047,0.05,4
Method3_ProbQ5,Q5,2010-06-30,60,1.0,0.9999999999999999,0.16889482626125968,0.05,6
Method1_Raw,Q1,2010-07-31,59,1.0000000000000002,0.9999999999999999,0.5219408063918786,0.04999999999999999,4
Method1_Raw,Q2,2010-07-31,60,1.0000000000000002,1.0,0.27126282077020486,0.05,5
Method1_Raw,Q3,2010-07-31,60,1.0,1.0000000000000002,0.2084494926936135,0.05000000000000001,6
Method1_Raw,Q4,2010-07-31,60,0.9999999999999999,1.0,0.2997402648789134,0.05,4
Method1_Raw,Q5,2010-07-31,61,1.0,1.0,0.20151713194120957,0.05,6
Method2_PostMean,Q1,2010-07-31,58,0.9999999999999998,1.0,0.35220795811999867,0.05,5
Method2_PostMean,Q2,2010-07-31,61,1.0000000000000002,1.0,0.18455299135708508,0.05,5
Method2_PostMean,Q3,2010-07-31,60,1.0,0.9999999999999999,0.23117795317401243,0.05,5
Method2_PostMean,Q4,2010-07-31,61,0.9999999999999998,1.0,0.20178128349263635,0.05,6
Method2_PostMean,Q5,2010-07-31,60,1.0000000000000002,1.0,0.18135992849238808,0.05,6
Method3_ProbQ5,Q1,2010-07-31,58,0.9999999999999999,0.9999999999999998,0.19418987744570435,0.04999999999999999,6
Method3_ProbQ5,Q2,2010-07-31,59,0.9999999999999999,1.0,0.43554071728362004,0.05,3
