FormationYear,cutoff,total_firm_years,valid_be_to_assets,kept_firm_years,excluded_missing_or_nonpositive_assets,excluded_below_cutoff,kept_share,min_be_to_assets,p10_be_to_assets,median_be_to_assets
2010,0.1,312,312,308,0,4,0.9871794871794872,-0.22258299323622502,0.2744503645241364,0.44140108890889385
2011,0.1,323,323,318,0,5,0.9845201238390093,-0.40007701193685025,0.2781669785684953,0.443641285566179
2012,0.1,337,337,330,0,7,0.9792284866468842,-0.44926240500670545,0.25141304604909165,0.44033039094693244
2013,0.1,351,351,342,0,9,0.9743589743589743,-0.9677304185433374,0.23095197844229964,0.4288513644093251
2014,0.1,364,364,358,0,6,0.9835164835164835,-0.46771148036253773,0.2635608702703623,0.44524224630080944
2015,0.1,376,376,366,0,10,0.973404255319149,-0.2902463334757226,0.2543401559212004,0.456730237333276
2016,0.1,399,399,386,0,13,0.9674185463659147,-0.33361297539149887,0.24472128596484718,0.4544537112458282
2017,0.1,429,429,416,0,13,0.9696969696969697,-2.5498489425981874,0.26350553962155177,0.4546340939891559
2018,0.1,443,443,436,0,7,0.9841986455981941,-1.2284130688448074,0.27571156847428596,0.45783476699552594
2019,0.1,478,478,465,0,13,0.9728033472803347,-0.46744574290484137,0.25666223915739284,0.4507894180189391
2020,0.1,502,502,482,0,20,0.9601593625498008,-1.606441403704738,0.214228223055883,0.4278628955913587
2021,0.1,525,525,509,0,16,0.9695238095238096,-6.063348416289593,0.22815174614310163,0.44114417481058527
2022,0.1,540,540,523,0,17,0.9685185185185186,-2.319541465162099,0.23119665356460564,0.4397253681111346
2023,0.1,568,568,550,0,18,0.9683098591549296,-2.5609965635738834,0.24367822306021808,0.4432697417840642
2024,0.1,587,587,564,0,23,0.9608177172061328,-4.456432598667349,0.22525079140716986,0.45058131677613417
2025,0.1,612,612,589,0,23,0.9624183006535948,-7.098086124401915,0.23894277615285464,0.45604531886834954
