PortfolioStrategy,FactorModel,Method,MethodLabel,alpha_annualized,alpha_monthly
LongShort,CAPM,Method1_ObservedQuality,Observed Quality,0.08128836447617199,0.006774030373014333
LongShort,CAPM,Method2_LatentQuality,Latent Quality,0.061369066562862805,0.005114088880238567
LongShort,CAPM,Method3_ConservativeQuality,Conservative Quality,0.09561608881162123,0.007968007400968436
LongShort,CAPM,Method4_ProbabilisticQuality,Probabilistic Quality,0.08714305209975423,0.007261921008312853
LongShort,FF3,Method1_ObservedQuality,Observed Quality,0.09739285151065655,0.008116070959221379
LongShort,FF3,Method2_LatentQuality,Latent Quality,0.07633994764002008,0.006361662303335007
LongShort,FF3,Method3_ConservativeQuality,Conservative Quality,0.11199051006411331,0.009332542505342776
LongShort,FF3,Method4_ProbabilisticQuality,Probabilistic Quality,0.10316808666194141,0.008597340555161785
LongShort,FF3+MOM,Method1_ObservedQuality,Observed Quality,0.055933390010393935,0.004661115834199495
LongShort,FF3+MOM,Method2_LatentQuality,Latent Quality,0.045471618304608025,0.003789301525384002
LongShort,FF3+MOM,Method3_ConservativeQuality,Conservative Quality,0.062054073037283,0.005171172753106916
LongShort,FF3+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.058503470070304486,0.004875289172525374
LongShort,FF5,Method1_ObservedQuality,Observed Quality,0.05724289714053954,0.004770241428378295
LongShort,FF5,Method2_LatentQuality,Latent Quality,0.04149778901412873,0.0034581490845107276
LongShort,FF5,Method3_ConservativeQuality,Conservative Quality,0.06911065845722547,0.005759221538102122
LongShort,FF5,Method4_ProbabilisticQuality,Probabilistic Quality,0.06294624904959113,0.005245520754132594
LongShort,FF5+MOM,Method1_ObservedQuality,Observed Quality,0.03336969329575484,0.002780807774646237
LongShort,FF5+MOM,Method2_LatentQuality,Latent Quality,0.027371892412888635,0.0022809910344073862
LongShort,FF5+MOM,Method3_ConservativeQuality,Conservative Quality,0.0363896177273723,0.003032468143947692
LongShort,FF5+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.03604356801265216,0.0030036306677210137
Q5,CAPM,Method1_ObservedQuality,Observed Quality,0.013928784751837547,0.0011607320626531288
Q5,CAPM,Method2_LatentQuality,Latent Quality,0.008256000239282196,0.000688000019940183
Q5,CAPM,Method3_ConservativeQuality,Conservative Quality,0.009046980738362385,0.0007539150615301988
Q5,CAPM,Method4_ProbabilisticQuality,Probabilistic Quality,0.015260794135220107,0.0012717328446016755
Q5,FF3,Method1_ObservedQuality,Observed Quality,0.016932090319107654,0.0014110075265923044
Q5,FF3,Method2_LatentQuality,Latent Quality,0.011034175659995414,0.0009195146383329512
Q5,FF3,Method3_ConservativeQuality,Conservative Quality,0.011945404092321124,0.0009954503410267604
Q5,FF3,Method4_ProbabilisticQuality,Probabilistic Quality,0.01823735460981265,0.0015197795508177206
Q5,FF3+MOM,Method1_ObservedQuality,Observed Quality,0.019976483734275498,0.0016647069778562916
Q5,FF3+MOM,Method2_LatentQuality,Latent Quality,0.017989035445961567,0.0014990862871634637
Q5,FF3+MOM,Method3_ConservativeQuality,Conservative Quality,0.017335703175589624,0.0014446419312991352
Q5,FF3+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.021220350560432116,0.0017683625467026763
Q5,FF5,Method1_ObservedQuality,Observed Quality,0.008423828433147127,0.0007019857027622606
Q5,FF5,Method2_LatentQuality,Latent Quality,0.003287053053266626,0.00027392108777221885
Q5,FF5,Method3_ConservativeQuality,Conservative Quality,0.0044891341536877245,0.0003740945128073104
Q5,FF5,Method4_ProbabilisticQuality,Probabilistic Quality,0.009619152018296075,0.0008015960015246729
Q5,FF5+MOM,Method1_ObservedQuality,Observed Quality,0.013035384308889201,0.0010862820257407668
Q5,FF5+MOM,Method2_LatentQuality,Latent Quality,0.011487616376113886,0.0009573013646761571
Q5,FF5+MOM,Method3_ConservativeQuality,Conservative Quality,0.011144855756701877,0.0009287379797251564
Q5,FF5+MOM,Method4_ProbabilisticQuality,Probabilistic Quality,0.014181795573603443,0.0011818162978002868
