Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1998,159.18,112.76,0.0,0.0,6.17,209.1,19.62,0.17597936341378104
1999,353.15,291.91,0.0,0.0,20.33,119.52,2.11,0.3363479404752113
2000,441.13,297.44,0.0,0.0,16.59,120.18,2.65,1.0347634942603596
2004,226.63,154.28,5.08,0.0,7.45,-43.64,2.13,-1.4410985304745842
2005,264.76,178.26,3.86,2.55,8.41,-34.56,0.0,-2.2216435185185186
2006,314.36,237.3,3.56,2.16,2.08,98.34,0.86,0.7417338709677419
2007,346.65,262.44,2.71,2.44,6.98,92.52,1.13,0.8217832354511477
2008,343.56,262.75,2.92,2.83,2.44,174.75,1.36,0.44449491794900914
2009,288.8,221.1,4.12,11.28,1.07,128.99,0.86,0.5682710820177128
2010,380.67,276.45,4.97,7.71,0.54,129.68,0.72,0.8161042944785277
2011,394.76,299.3,87.66,7.13,3.82,121.11,0.6,0.09128255689754317
2012,193.31,121.66,57.99,0.0,0.81,84.13,1.15,0.15068011257035652
2013,180.73,114.33,59.18,0.0,1.91,74.63,0.32,0.07084723148765834
2014,182.11,114.08,69.31,0.0,7.89,135.47,0.16,-0.06761041067610402
2015,265.08,155.32,84.08,0.0,2.97,168.94,0.18,0.13428334910122985
2016,307.57,178.86,95.91,0.0,2.42,212.95,0.26,0.14248862623704323
2017,317.68,184.21,105.4,0.0,1.57,202.84,0.22,0.13050329951738399
2018,339.7,186.41,119.1,0.0,2.55,257.32,0.27,0.12283085523506347
2019,356.89,223.47,146.06,13.02,0.67,239.65,0.31,-0.0012085347557926512
2020,330.44,205.16,138.04000000000002,12.91,0.62,219.59,0.35,-0.0021369464399382684
2021,390.66,254.42,146.03,14.48,0.58,304.89,0.39,0.013463050314465496
2022,569.02,382.66,233.6,13.64,1.14,292.48,0.45,-0.11859488615027489
2023,999.4,654.12,315.95,22.44,2.64,469.02,0.46,0.10464769532248441
2024,1324.8,832.84,442.24,28.81,4.85,767.12,0.38,0.09599999999999989
