Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2010,0.17,0.0,6.25,0.0,0.13,75.97,0.0,-0.08174279320784521
2011,1.18,0.46,29.090000000000003,0.0,1.43,120.53,0.0,-0.2472413507010703
2012,26.02,23.96,69.62,0.0,5.06,47.72,0.0,-1.5217937971500421
2013,62.94,25.31,87.53999999999999,1.69,5.63,62.0,0.0,-0.8685483870967742
2014,19.77,14.62,55.42999999999999,2.82,7.07,78.95,0.0,-0.6906903103229891
2015,55.14,65.37,75.89,4.38,9.39,32.55,0.0,-2.799692780337942
2016,20.2,101.41,34.24,1.79,10.35,53.56,0.0,-2.3153472740851377
2017,66.23,54.93,26.92,0.0,3.32,37.08,0.0,-0.5107874865156418
2018,60.74,48.36,36.49,0.0,3.83,86.04,0.0,-0.3247326824732682
2019,67.78,59.57,50.42,0.13,8.57,117.75,0.0,-0.43014861995753717
2020,69.25,39.53,71.27,7.56,9.21,263.76,0.0,-0.1637852593266606
2021,87.62,64.52,90.35,8.87,9.39,140.38,0.0,-0.4827610770765065
2022,120.45,91.93,111.77,13.64,9.95,148.03,0.0,-0.5374586232520435
2023,218.51,150.69,124.19,11.01,7.54,41.14,0.0,-1.285853184248906
2024,265.54,169.55,155.22,9.32,15.68,59.36,0.0,-1.1049528301886793
