Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Kongsberg Automotive ASA,Automobiles & Auto Parts,2184.81,1008.24,354.09,0.0,45.1,390.28,0.0,1.9918520036896588
2005,Kongsberg Automotive ASA,Automobiles & Auto Parts,2525.24,1140.19,333.68,0.0,0.0,489.0,0.0,2.1500408997955005
2006,Kongsberg Automotive ASA,Automobiles & Auto Parts,2863.0,1349.0,348.0,0.0,37.0,548.0,0.0,2.06021897810219
2007,Kongsberg Automotive ASA,Automobiles & Auto Parts,3180.6,0.0,2852.8,0.0,47.1,789.0,0.0,0.3557667934093786
2008,Kongsberg Automotive ASA,Automobiles & Auto Parts,7460.56,0.0,7224.2,0.0,320.36,808.69,71.84,-0.09539709038874249
2009,Kongsberg Automotive ASA,Automobiles & Auto Parts,5435.3,0.0,5430.07,0.0,363.05,1429.85,54.74,-0.24102277396452862
2010,Kongsberg Automotive ASA,Automobiles & Auto Parts,6918.59,0.0,6460.02,0.0,177.67,1311.47,48.28,0.20658209229637783
2011,Kongsberg Automotive ASA,Automobiles & Auto Parts,7789.81,3745.69,2879.2,0.0,155.84,1382.55,51.06,0.7038734383828241
2012,Kongsberg Automotive ASA,Automobiles & Auto Parts,7481.97,3505.93,2598.61,0.0,142.75,1334.38,21.29,0.9107526167872714
2013,Kongsberg Automotive ASA,Automobiles & Auto Parts,7737.54,3531.05,2653.36,312.34,135.09,1558.39,23.35,1.093972460707828
2014,Kongsberg Automotive ASA,Automobiles & Auto Parts,8181.94,3598.35,2976.62,416.99,99.44,1864.72,36.16,1.0124363452716636
2015,Kongsberg Automotive ASA,Automobiles & Auto Parts,9087.78,3976.8,3296.12,493.75,73.35,2018.89,37.44,1.087014243822733
2016,Kongsberg Automotive ASA,Automobiles & Auto Parts,8766.17,0.0,8207.95,0.0,64.09,1860.51,34.5,0.2607532414076967
2017,Kongsberg Automotive ASA,Automobiles & Auto Parts,9858.32,4466.38,4293.76,512.23,94.24,1842.02,35.44,0.807564475408264
2018,Kongsberg Automotive ASA,Automobiles & Auto Parts,10783.39,4880.42,4372.5,449.35,122.9,2475.93,35.67,0.7393374741200825
2019,Kongsberg Automotive ASA,Automobiles & Auto Parts,11428.95,5050.43,3861.18,423.33,156.53,2747.49,37.39,0.9997342793944445
2020,Kongsberg Automotive ASA,Automobiles & Auto Parts,7365.78,3167.64,2358.04,497.56,167.28,2528.95,42.95,0.843881954974921
2021,Kongsberg Automotive ASA,Automobiles & Auto Parts,8448.42,4107.35,2547.53,482.68,152.43,2616.0,42.05,0.7990030285359566
2022,Kongsberg Automotive ASA,Automobiles & Auto Parts,9140.91,4376.66,1669.51,369.43,121.13,2895.75,45.08,1.1367675112128208
2023,Kongsberg Automotive ASA,Automobiles & Auto Parts,10094.41,4904.04,1784.12,320.55,123.2,2390.24,49.21,1.4772182254196646
2024,Kongsberg Automotive ASA,Automobiles & Auto Parts,9158.57,3987.85,1753.4,304.43,131.3,2349.86,38.83,1.5031042119320628
