Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Photocure ASA,Pharmaceuticals,82.41,26.14,35.28,31.72,0.1,85.4,0.17,0.6148182774336799
2005,Photocure ASA,Pharmaceuticals,68.88,26.86,25.29,59.96,0.07,48.47,0.0,1.5807716113059627
2006,Photocure ASA,Pharmaceuticals,216.01,44.5,25.4,64.74,0.04,326.94,0.0,0.644797210497339
2007,Photocure ASA,Pharmaceuticals,106.63,34.66,39.77,112.1,0.01,259.5,0.49,0.5549828839570752
2008,Photocure ASA,Pharmaceuticals,36.85,8.76,40.31,76.53,0.01,199.69,0.0,0.3219990986028344
2009,Photocure ASA,Pharmaceuticals,82.38,23.76,59.85000000000001,75.78,0.0,415.78,0.0,0.17930155370628695
2010,Photocure ASA,Pharmaceuticals,177.36,18.24,69.25999999999999,90.17,0.0,458.85,0.0,0.3923504413206931
2011,Photocure ASA,Pharmaceuticals,114.09,21.88,61.56,64.06,0.01,439.34,0.0,0.21555059862521056
2012,Photocure ASA,Pharmaceuticals,133.82,18.8,103.49,50.08,0.0,380.27,0.0,0.16201646198753517
2013,Photocure ASA,Pharmaceuticals,83.62,13.66,108.5,33.98,0.01,269.12,0.0,-0.016981272294887047
2014,Photocure ASA,Pharmaceuticals,128.95,14.0,85.84,32.55,0.0,240.06,0.0,0.2568524535532783
2015,Photocure ASA,Pharmaceuticals,134.72,16.44,106.74,31.34,0.0,210.06,0.0,0.204132152718271
2016,Photocure ASA,Pharmaceuticals,143.63,18.68,116.8,22.96,0.0,251.94,0.0,0.12348178137651816
2017,Photocure ASA,Pharmaceuticals,150.91,24.02,140.22,32.59,0.0,218.08,0.0,0.08831621423330889
2018,Photocure ASA,Pharmaceuticals,181.51,34.3,158.67,19.15,0.0,176.34,0.0,0.04360893728025404
2019,Photocure ASA,Pharmaceuticals,281.56,45.02,191.7,13.64,0.24,208.59,0.0,0.2792080157246272
2020,Photocure ASA,Pharmaceuticals,256.48,37.02,234.59,13.84,0.19,508.13,0.0,-0.0029126404660224587
2021,Photocure ASA,Pharmaceuticals,360.54,48.1,323.17,4.32,22.42,502.63,0.0,-0.057358295366372936
2022,Photocure ASA,Pharmaceuticals,393.13,45.4,400.72,3.34,1.42,462.73,0.0,-0.11036673654182792
2023,Photocure ASA,Pharmaceuticals,500.66,52.28,432.03,2.07,0.9,482.85,0.0,0.036284560422491494
2024,Photocure ASA,Pharmaceuticals,525.39,61.44,454.42,3.63,0.74,501.72,0.0,0.02475484333891407
