Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2013,Multiconsult ASA,Construction & Engineering,2042.14,239.58,156.73,13.0,0.14,425.87,0.0,3.894827059900909
2014,Multiconsult ASA,Construction & Engineering,2265.63,279.12,174.66,13.0,0.15,419.91,0.0,4.345454978447762
2015,Multiconsult ASA,Construction & Engineering,2554.7,307.03,237.75,16.9,0.51,350.18,0.0,5.786481238220344
2016,Multiconsult ASA,Construction & Engineering,2968.07,363.45,256.73,17.6,1.48,507.52,0.0,4.657964218158891
2017,Multiconsult ASA,Construction & Engineering,3375.4,397.76,309.77,11.9,7.85,582.07,0.0,4.590375728005223
2018,Multiconsult ASA,Construction & Engineering,3908.64,573.79,370.02,7.6,12.15,593.21,0.0,4.990273259048228
2019,Multiconsult ASA,Construction & Engineering,4068.68,632.85,366.03,11.5,11.47,581.41,0.0,5.279974544641476
2020,Multiconsult ASA,Construction & Engineering,4186.16,525.22,309.88,7.3,5.85,773.62,0.0,4.333535844471446
2021,Multiconsult ASA,Construction & Engineering,4284.67,480.93,348.19,7.6,4.23,850.12,0.0,4.068743236249
2022,Multiconsult ASA,Construction & Engineering,4868.16,678.93,397.86,10.7,11.89,992.45,0.0,3.819013552320016
2023,Multiconsult ASA,Construction & Engineering,5626.26,823.78,459.41,7.7,22.67,1034.85,45.42,4.0064983754061485
2024,Multiconsult ASA,Construction & Engineering,6349.49,965.89,495.46,1.9,35.93,1236.56,42.31,3.7956242620438347
