Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",118.16,82.77,35.93,0.0,0.54,18.57,0.0,-0.05815831987075924
2005,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",131.06,95.3,42.91,0.0,0.66,109.82,6.16,-0.06733919641317462
2006,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",317.74,159.15,122.19,0.0,2.52,143.52,0.5,0.2352451048465491
2007,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",461.79,248.79,149.25,5.6,2.7,293.63,0.97,0.22623896809232863
2008,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",555.26,269.39,220.75,0.0,1.46,343.06,0.78,0.18514425314099583
2009,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",562.01,266.97,239.04,26.58,0.74,372.72,0.6,0.21922211507553835
2010,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",1085.15,530.5,442.63,0.0,2.12,649.76,0.84,0.16892099600368904
2011,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",2007.65,926.44,1031.27,0.0,9.06,666.4,0.58,0.06129119313922464
2012,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",2179.0,1030.03,1088.37,0.0,4.92,687.21,0.6,0.08095258865093577
2013,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",2433.78,1197.54,1166.56,0.0,3.23,724.27,0.92,0.09163115873081577
2014,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",638.77,314.52,318.28000000000003,0.0,3.09,685.55,0.97,0.0041950707918195695
2015,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",698.26,349.37,345.9,0.0,2.82,340.91,0.84,0.0004974396488661573
2016,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",704.24,358.46,350.8,0.0,1.13,307.65,0.97,-0.019927418832220795
2017,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",688.68,341.97,341.86,0.0,0.87,296.77,1.05,0.013363776777919244
2018,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",443.56,140.18,283.67,0.0,0.0,232.06,1.24,0.08448349764252026
2019,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",449.47,148.06,277.98,0.0,1.34,228.71,1.15,0.09610197511528759
2020,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",512.76,213.72,276.34000000000003,0.0,3.95,273.65,2.59,0.0678757602085141
2021,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",536.03,201.93,327.81,0.0,1.38,260.22,1.52,0.018759073890119826
2022,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",507.84,140.74,351.36,0.0,5.55,258.9,0.0,0.039358825801467566
2023,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",726.8,323.8,370.8,0.0,7.9,280.4,0.0,0.08666191155492131
2024,Goodtech ASA,"Machinery, Tools, Heavy Vehicles, Trains & Ships",714.8,247.0,425.6,0.0,10.1,262.8,0.0,0.12214611872146092
