Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,438.67,144.35,26.050000000000004,0.0,19.11,169.48,0.0,1.4701439697899459
2005,478.04,162.28,23.25,0.0,20.52,170.77,0.0,1.592727059788019
2006,432.22,212.8,38.96,0.0,14.64,436.91,2.17,0.3776532750296073
2007,56.2,0.0,34.05,0.0,3.34,594.51,3.75,0.03144117942031893
2008,28.41,0.0,23.22,0.0,1.41,407.83,0.0,0.009268567785596944
2009,19.38,0.0,13.3,0.0,1.98,402.17,0.0,0.010194693786209807
2010,11.4,0.0,23.200000000000003,0.0,12.22,352.73,0.0,-0.06809741161795141
2011,10.56,0.0,22.29,0.0,13.55,282.28,0.0,-0.08955646875442824
2012,513.9,255.24,164.18,0.0,23.56,377.71,12.48,0.1817576052692277
2013,712.19,310.53,191.41,0.0,43.78,458.28,14.72,0.35194503171247377
2014,733.64,303.26,203.39,0.0,41.52,458.34,15.78,0.3911878849236481
2015,747.26,296.66,220.11,0.0,43.67,461.2,23.72,0.38525942423492526
2016,781.05,294.87,258.03,0.0,46.68,371.98,25.55,0.45649384952079075
2017,792.87,282.38,261.62,0.0,44.87,414.68,31.77,0.45693806697278533
2018,827.25,294.51,275.11,0.0,50.19,374.41,64.9,0.4721950331201201
2019,918.55,278.35,304.46,0.0,55.31,445.82,67.97,0.5458066525234044
2020,862.39,309.76,291.99,0.0,52.32,319.74,64.01,0.5428534201954397
2021,946.9,297.12,316.8,0.0,52.66,281.44,57.86,0.8261715296198052
2022,931.73,260.56,292.52,0.0,47.43,453.21,54.67,0.6521619280144918
2023,1141.42,582.57,347.11,6.56,47.05,682.57,73.27,0.2265691151566469
2024,1169.43,528.95,394.86,6.99,22.7,728.83,80.2,0.2841798202786052
