Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2008,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,2682.82,1255.47,140.95,0.0,100.76,3580.98,0.0,0.3310937229473496
2009,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,2194.24,1131.71,106.73,0.0,0.0,3878.58,0.0,0.24643039462896207
2010,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,1497.71,791.55,138.99,0.0,33.63,4403.18,0.0,0.12117151694911406
2011,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,1709.87,835.04,76.99,0.0,0.0,4888.37,0.0,0.16321186816873517
2012,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,1360.87,854.69,67.54,0.0,0.0,4748.01,0.0,0.09238396717782814
2013,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,1278.41,746.99,101.34,0.0,40.74,5331.66,0.0,0.0730241613306175
2014,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,833.93,675.34,118.65,0.0,34.31,5918.94,0.0,0.0009511838268338437
2015,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,695.85,634.94,268.84,0.0,39.07,3654.44,0.0,-0.06758901500640317
2016,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,503.39,457.3,81.14,0.0,42.95,1937.22,0.0,-0.04026388329668289
2017,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,607.92,361.2,62.23,0.0,42.79,2010.99,0.0,0.07046280687621519
2018,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,619.6,308.34,84.51,0.0,25.73,2167.91,0.0,0.09272525150951842
2019,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,555.69,287.56,49.23,0.0,38.03,2218.32,0.0,0.08153467488910529
2020,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,443.42,324.61,85.05,0.0,0.0,2051.49,0.0,0.016456331739369924
2021,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,1126.5,374.07,71.9,0.0,0.0,3805.15,0.0,0.17884446079655206
2022,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,1464.81,641.71,82.46,0.0,6.75,4027.7,0.0,0.1822106909650669
2023,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,863.82,617.15,102.85,0.0,15.03,3546.58,0.0,0.036313857293505315
2024,Jinhui Shipping and Transportation Ltd,Freight & Logistics Services,1707.19,906.82,105.94,0.0,14.15,4223.61,0.0,0.1610660075148984
