Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2014,510.74,118.9,288.38,0.0,0.0,1373.82,-1.67,0.07539991983383744
2015,1076.24,189.3,481.77,0.0,104.58,1672.82,-0.91,0.17978838573846687
2016,1396.14,243.67,607.02,0.0,227.31,2426.42,-1.53,0.13119770381336887
2017,2012.68,285.54,777.13,0.0,348.75,3148.57,-0.19,0.19097440588493134
2018,2857.86,363.31,1108.33,0.0,607.96,4354.89,0.6,0.17868483224619963
2019,2809.71,447.25,1333.74,0.0,770.5,4236.18,0.63,0.06094679723660018
2020,3130.0,454.0,1304.0,0.0,795.0,4718.0,1.0,0.12227166772621319
2021,3056.0,420.0,1220.0,0.0,632.0,4992.0,1.0,0.15701982775886242
2022,3377.0,422.0,1567.0,0.0,665.0,5216.0,1.0,0.13858539390454283
2023,3906.0,533.0,1449.0,0.0,1044.0,5587.0,1.0,0.15748031496062992
2024,3567.0,556.0,1367.0,0.0,1001.0,5618.0,0.0,0.11445354218583126
