Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,1745.7,1110.4,503.2000000000001,0.0,169.0,344.15,22.76,-0.10056962197814219
2005,1501.3,774.0,452.6,0.0,155.7,1763.7,14.6,0.06691784288365289
2006,5640.5,3296.7,1710.6,0.0,70.4,13522.2,20.0,0.041558978600227454
2007,14091.5,9104.2,3469.3,0.0,380.9,12449.6,34.4,0.09108458827298935
2008,13486.9,8654.4,3533.6,0.0,485.5,22.7,45.1,11.997050147492628
2009,14619.5,8796.6,3615.6,0.0,404.3,11415.5,45.0,0.15732297892762093
2010,15281.2,7780.7,4918.5,0.0,380.3,12500.2,70.5,0.1751453777434829
2011,16132.8,8398.6,5856.700000000001,0.0,405.8,10766.3,75.8,0.13573938628125534
2012,15463.5,9666.5,6328.1,0.0,382.8,11619.7,69.0,-0.07818662468880203
2013,19199.4,9998.5,7310.6,0.0,640.2,16318.5,27.8,0.07647602209674367
2014,25514.36,13668.05,9249.91,0.0,544.01,14806.61,16.27,0.1384609468605292
2015,27839.36,15834.73,10798.88,0.0,415.93,18188.21,8.64,0.04340421556478192
2016,32603.32,16553.37,11804.330000000002,0.0,449.55,18781.3,8.17,0.20203177630875163
2017,34049.73,15754.09,13462.58,0.0,435.72,22783.6,11.81,0.1929046242204024
2018,36599.78,17399.76,14903.379999999996,0.0,480.07,28506.36,16.84,0.13380581421439405
2019,40714.57,19520.47,16546.32,0.0,691.11,28460.97,3.94,0.1390016690725528
2020,40321.45,21129.03,17053.13,0.0,675.56,28935.22,22.0,0.05054801531362462
2021,42701.41,22269.32,16266.809999999998,0.0,599.54,31325.93,24.03,0.11373985804128638
2022,49871.28,23693.1,17951.75,0.0,530.93,36773.57,1884.02,0.19906828128706422
2023,62806.9,31234.62,22628.88,402.68,1290.18,40191.2,1805.27,0.19182326514585638
2024,65113.95,32490.74,26460.17,521.72,1667.41,45175.69,1958.02,0.10644929075177827
