Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1993,Subsea 7 SA,Oil & Gas Related Equipment and Services,2657.64,2325.09,210.23,0.0,64.68,0.0,0.0,
1994,Subsea 7 SA,Oil & Gas Related Equipment and Services,1895.32,1789.72,221.68,0.0,43.86,0.0,0.0,
1995,Subsea 7 SA,Oil & Gas Related Equipment and Services,2084.84,1793.89,216.15,0.0,76.19,579.2,0.0,-0.002399861878452966
1996,Subsea 7 SA,Oil & Gas Related Equipment and Services,2019.53,1883.02,208.88,0.0,73.81,493.91,0.0,-0.29596485189609445
1997,Subsea 7 SA,Oil & Gas Related Equipment and Services,3021.43,2476.43,184.49,0.0,71.55,2503.25,4.45,0.11522909438928101
1998,Subsea 7 SA,Oil & Gas Related Equipment and Services,4885.0,4066.48,345.78000000000003,0.0,48.17,3005.41,0.0,0.14126857899587741
1999,Subsea 7 SA,Oil & Gas Related Equipment and Services,4975.34,4412.98,399.67,0.0,0.0,3290.87,0.0,0.049436775077715184
2000,Subsea 7 SA,Oil & Gas Related Equipment and Services,8569.4,8104.31,534.54,0.0,280.21,6199.37,16.65,-0.056251427762459054
2001,Subsea 7 SA,Oil & Gas Related Equipment and Services,11286.41,10283.1,721.0699999999999,0.0,263.04,5886.08,65.09,0.0032262563495916827
2002,Subsea 7 SA,Oil & Gas Related Equipment and Services,11684.06,11170.9,728.38,0.0,153.4,3786.3,53.89,-0.09599004215937235
2003,Subsea 7 SA,Oil & Gas Related Equipment and Services,10539.19,11138.23,736.36,0.0,198.27,731.13,69.35,-1.9159379372376564
2004,Subsea 7 SA,Oil & Gas Related Equipment and Services,7460.14,6477.76,744.25,4.75,130.94,1928.81,216.42,0.05218088503330651
2005,Subsea 7 SA,Oil & Gas Related Equipment and Services,9479.22,7955.06,739.4,10.86,25.56,3069.5,177.83,0.2371363550978801
2006,Subsea 7 SA,Oil & Gas Related Equipment and Services,13705.79,10937.79,1196.24,20.0,27.1,4308.54,115.15,0.35370019146911297
