Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
1992,Equinor ASA,Oil & Gas,86268.0,33774.0,20117.0,0.0,0.0,24205.0,39.0,1.3354644448110873
1993,Equinor ASA,Oil & Gas,92876.0,38559.0,21705.0,0.0,0.0,26507.0,44.0,1.2282776543256375
1994,Equinor ASA,Oil & Gas,98450.0,41567.0,19158.0,0.0,0.0,30215.0,44.0,1.2467365081463366
1995,Equinor ASA,Oil & Gas,101080.0,45013.0,19420.0,0.0,0.0,33832.0,104.0,1.0798856671381425
1996,Equinor ASA,Oil & Gas,124017.0,54883.0,23100.0,0.0,0.0,37142.0,143.0,1.2346520048276788
1997,Equinor ASA,Oil & Gas,142046.0,67206.0,28492.0,0.0,0.0,38478.0,1548.0,1.1579473342327486
2006,Equinor ASA,Oil & Gas,518960.0,249593.0,55625.0,0.0,0.0,167833.0,1574.0,1.2617070132875265
2007,Equinor ASA,Oil & Gas,521665.0,260396.0,74738.0,0.0,0.0,177275.0,1792.0,1.0416827221096014
2008,Equinor ASA,Oil & Gas,651977.0,329182.0,70313.0,0.0,0.0,214079.0,1976.0,1.1686005878132883
2009,Equinor ASA,Oil & Gas,462292.0,205870.0,67181.0,0.0,2134.0,198319.0,1799.0,0.9349833598177075
2010,Equinor ASA,Oil & Gas,526950.0,257436.0,68751.0,0.0,1722.0,219500.0,6900.0,0.8791563604240282
2011,Equinor ASA,Oil & Gas,645599.0,319605.0,73689.4,0.0,6555.0,278900.0,6300.0,0.8616746143057503
2012,Equinor ASA,Oil & Gas,700500.0,362200.0,70800.0,0.0,0.0,319200.0,700.0,0.8361988121287902
2013,Equinor ASA,Oil & Gas,616600.0,306900.0,81900.0,0.0,4600.0,354466.04,491.37,0.6288078335933317
2014,Equinor ASA,Oil & Gas,609814.52,302548.92,80814.23,3001.53,5410.32,382753.2,425.9,0.5846941547699235
2015,Equinor ASA,Oil & Gas,466841.62,211683.25,92183.08,2773.64,7103.41,355987.59,318.23,0.44525099253220163
2016,Equinor ASA,Oil & Gas,383605.75,180560.36,82173.65000000001,2502.07,8211.49,302916.86,233.2,0.37988552599989595
2017,Equinor ASA,Oil & Gas,503970.98,233193.31,78532.87999999999,2537.58,7802.87,327139.23,196.97,0.5712154659338015
2018,Equinor ASA,Oil & Gas,639482.68,313542.29,83733.93000000001,2564.28,9198.85,371204.94,164.14,0.6343336122651893
2019,Equinor ASA,Oil & Gas,553495.77,259824.79,92107.06,2639.42,11851.01,361134.6,175.57,0.5323745246362702
2020,Equinor ASA,Oil & Gas,430574.38,197495.99,89751.23,2390.35,11133.03,290559.21,162.98,0.46293157051410494
2021,Equinor ASA,Oil & Gas,762726.31,302188.96,80600.91,2501.05,8680.63,343549.37,123.29,1.087537367680048
2022,Equinor ASA,Oil & Gas,1431545.28,516937.3,101781.09,2959.09,11730.67,528893.44,9.8,1.520231394309477
2023,Equinor ASA,Oil & Gas,1127391.57,0.0,124506.03,3281.47,15383.88,491451.0,101.35,2.0156207777259127
2024,Equinor ASA,Oil & Gas,1101259.78,0.0,126626.28,3738.84,17061.14,481246.47,431.9,1.995753307336595
