Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,Medistim ASA,Healthcare Equipment & Supplies,76.17,21.27,40.23,0.0,0.26,61.71,0.0,0.23351158645276307
2005,Medistim ASA,Healthcare Equipment & Supplies,81.57,21.4,44.3,0.0,0.23,67.41,0.0,0.23201305444296094
2006,Medistim ASA,Healthcare Equipment & Supplies,99.63,29.21,49.18,6.3,0.6,74.06,0.0,0.3637591142317038
2007,Medistim ASA,Healthcare Equipment & Supplies,126.85,37.97,64.99000000000001,8.3,1.08,93.84,0.0,0.3315217391304346
2008,Medistim ASA,Healthcare Equipment & Supplies,140.29,40.62,71.19,8.7,1.02,95.46,0.0,0.37879740205321594
2009,Medistim ASA,Healthcare Equipment & Supplies,158.75,42.79,83.68,9.3,0.38,106.29,0.0,0.3876187788126822
2010,Medistim ASA,Healthcare Equipment & Supplies,158.03,42.78,86.0,9.7,0.18,107.83,0.0,0.3595474357785403
2011,Medistim ASA,Healthcare Equipment & Supplies,161.76,42.24,90.41,7.1,0.07,106.89,0.0,0.3381045935073438
2012,Medistim ASA,Healthcare Equipment & Supplies,183.75,49.44,118.48,7.6,0.0,115.17,0.0,0.2034383954154727
2013,Medistim ASA,Healthcare Equipment & Supplies,190.98,49.19,129.82999999999998,18.0,0.34,121.64,0.0,0.243505425846761
2014,Medistim ASA,Healthcare Equipment & Supplies,214.82,55.57,140.64,12.2,0.76,139.1,0.0,0.2160316319194824
2015,Medistim ASA,Healthcare Equipment & Supplies,251.43,64.65,161.69,11.0,0.53,156.16,0.0,0.22771516393442626
2016,Medistim ASA,Healthcare Equipment & Supplies,268.06,64.96,174.86999999999998,9.3,0.35,166.7,0.0,0.22303539292141608
2017,Medistim ASA,Healthcare Equipment & Supplies,301.46,72.78,195.57,8.6,0.5,182.98,0.0,0.2252158705869493
2018,Medistim ASA,Healthcare Equipment & Supplies,325.89,79.38,208.97000000000003,10.2,0.52,206.71,0.0,0.22843597310241376
2019,Medistim ASA,Healthcare Equipment & Supplies,363.72,80.14,227.95,12.4,0.43,236.86,0.0,0.2854006586169047
2020,Medistim ASA,Healthcare Equipment & Supplies,363.13,76.58,214.38,16.5,0.15,256.85,0.0,0.3446369476348063
2021,Medistim ASA,Healthcare Equipment & Supplies,427.28,97.11,246.26,18.6,0.18,306.05,0.0,0.33435713118771426
2022,Medistim ASA,Healthcare Equipment & Supplies,491.94,106.49,287.83000000000004,25.75,0.12,367.69,0.0,0.3352008485408903
2023,Medistim ASA,Healthcare Equipment & Supplies,526.36,112.28,347.61,29.0,0.15,397.94,0.0,0.2395335980298538
2024,Medistim ASA,Healthcare Equipment & Supplies,562.6,113.68,389.49,35.0,0.32,436.61,0.0,0.21554705572478874
